,date,y_minmax_1000
818,20220207,626
819,20220208,250
820,20220209,202
821,20220210,183
822,20220211,288
823,20220214,428
824,20220215,298
825,20220216,125
826,20220217,381
827,20220218,240
828,20220221,370
829,20220222,341
830,20220223,245
831,20220224,313
832,20220225,313
833,20220228,212
834,20220302,226
835,20220303,236
836,20220304,568
837,20220307,280
838,20220308,428
839,20220310,197
840,20220311,255
841,20220314,241
842,20220315,212
843,20220316,255
844,20220317,211
845,20220318,255
846,20220321,342
847,20220322,279
848,20220323,265
849,20220324,168
850,20220325,376
851,20220328,270
852,20220329,264
853,20220330,174
854,20220331,304
855,20220401,304
856,20220404,284
857,20220405,308
858,20220406,168
859,20220407,164
860,20220408,236
861,20220411,346
862,20220412,178
863,20220413,246
864,20220414,245
865,20220415,259
866,20220418,288
867,20220419,298
868,20220420,265
869,20220421,178
870,20220422,212
871,20220425,202
872,20220426,145
873,20220427,222
874,20220428,269
875,20220429,512
876,20220502,229
877,20220503,293
878,20220504,152
879,20220506,195
880,20220509,259
881,20220510,474
882,20220511,234
883,20220512,308
884,20220513,322
885,20220516,308
886,20220517,254
887,20220518,240
888,20220519,230
889,20220520,322
890,20220523,239
891,20220524,190
892,20220525,278
893,20220526,361
894,20220527,190
895,20220530,240
896,20220531,269
897,20220602,201
898,20220603,210
899,20220607,264
900,20220608,132
901,20220609,166
902,20220610,264
903,20220613,401
904,20220614,532
905,20220615,473
906,20220616,239
907,20220617,307
908,20220620,849
909,20220621,1026
910,20220622,449
911,20220623,473
912,20220624,425
913,20220627,367
914,20220628,235
915,20220629,186
916,20220630,239
917,20220701,244
918,20220704,410
919,20220705,439
920,20220706,269
921,20220707,342
922,20220708,278
923,20220711,258
924,20220712,288
925,20220713,210
926,20220714,210
927,20220715,513
928,20220718,225
929,20220719,205
930,20220720,166
931,20220721,205
932,20220722,273
933,20220725,381
934,20220726,161
935,20220727,142
936,20220728,250
937,20220729,229
938,20220801,260
939,20220802,137
940,20220803,171
941,20220804,147
942,20220805,152
943,20220808,113
944,20220809,181
945,20220810,211
946,20220811,171
947,20220812,206
948,20220816,205
949,20220817,123
950,20220818,205
951,20220819,260
952,20220822,142
953,20220823,147
954,20220824,117
955,20220825,123
956,20220826,181
957,20220829,167
958,20220830,132
959,20220831,172
960,20220901,284
961,20220902,172
962,20220905,265
963,20220906,230
964,20220907,377
965,20220908,171
966,20220913,293
967,20220914,147
968,20220915,151
969,20220916,191
970,20220919,225
971,20220920,216
972,20220921,162
973,20220922,93
974,20220923,240
975,20220926,235
976,20220927,284
977,20220928,220
978,20220929,172
979,20220930,396
980,20221004,333
981,20221005,416
982,20221006,298
983,20221007,215
984,20221011,269
985,20221012,191
986,20221013,137
987,20221014,221
988,20221017,255
989,20221018,210
990,20221019,191
991,20221020,240
992,20221021,220
993,20221024,152
994,20221025,294
995,20221026,181
996,20221027,279
997,20221028,133
998,20221031,226
999,20221101,236
1000,20221102,172
1001,20221103,172
1002,20221104,196
1003,20221107,309
1004,20221108,137
1005,20221109,187
1006,20221110,250
1007,20221111,206
1008,20221114,132
1009,20221115,250
1010,20221116,452
1011,20221118,295
1012,20221121,339
1013,20221122,256
1014,20221123,128
1015,20221124,147
1016,20221125,152
1017,20221128,270
1018,20221129,162
1019,20221130,373
1020,20221201,177
1021,20221202,290
1022,20221205,280
1023,20221206,275
1024,20221207,162
1025,20221208,182
1026,20221209,172
1027,20221212,152
1028,20221213,231
1029,20221214,225
1030,20221215,98
1031,20221216,201
1032,20221219,157
1033,20221220,216
1034,20221221,295
1035,20221222,103
1036,20221223,261
1037,20221226,138
1038,20221227,206
1039,20221228,235
1040,20221229,113
1041,20230103,447
1042,20230104,432
1043,20230105,231
1044,20230106,334
1045,20230109,329
1046,20230110,148
1047,20230111,231
1048,20230112,285
1049,20230113,280
1050,20230116,226
1051,20230117,221
1052,20230118,280
1053,20230119,211
1054,20230120,240
1055,20230125,167
1056,20230126,177
1057,20230127,285
1058,20230130,399
1059,20230131,270
1060,20230201,172
1061,20230202,207
1062,20230203,237
1063,20230206,261
1064,20230207,241
1065,20230208,162
1066,20230209,133
1067,20230210,265
1068,20230213,202
1069,20230214,202
1070,20230215,438
1071,20230216,216
1072,20230217,398
1073,20230220,324
1074,20230221,285
1075,20230222,217
1076,20230223,192
1077,20230224,192
1078,20230227,266
1079,20230228,187
1080,20230302,355
1081,20230303,192
1082,20230306,162
1083,20230307,98
1084,20230308,123
1085,20230309,158
1086,20230310,212
1087,20230313,359
1088,20230314,310
1089,20230315,182
1090,20230316,310
1091,20230317,251
1092,20230320,241
1093,20230321,157
1094,20230322,108
1095,20230323,152
1096,20230324,147
1097,20230327,359
1098,20230328,148
1099,20230329,157
1100,20230330,147
1101,20230331,216
1102,20230403,231
1103,20230404,251
1104,20230405,231
1105,20230406,226
1106,20230407,246
1107,20230410,438
1108,20230411,138
1109,20230412,236
1110,20230413,212
1111,20230414,281
1112,20230417,143
1113,20230418,251
1114,20230419,173
1115,20230420,217
1116,20230421,275
1117,20230424,103
1118,20230425,118
1119,20230426,163
1120,20230427,315
1121,20230428,165
1122,20230502,265
1123,20230503,140
1124,20230504,139
1125,20230508,154
1126,20230509,155
1127,20230510,140
1128,20230511,135
1129,20230512,170
1130,20230515,160
1131,20230516,120
1132,20230517,174
1133,20230518,160
1134,20230519,210
1135,20230522,359
1136,20230523,140
1137,20230524,160
1138,20230525,175
1139,20230526,165
1140,20230530,140
1141,20230531,140
1142,20230601,199
1143,20230602,90
1144,20230605,105
1145,20230607,140
1146,20230608,100
1147,20230609,174
1148,20230612,200
1149,20230613,125
1150,20230614,195
1151,20230615,150
1152,20230616,189
1153,20230619,194
1154,20230620,160
1155,20230621,125
1156,20230622,219
1157,20230623,235
1158,20230626,189
1159,20230627,159
1160,20230628,244
1161,20230629,175
1162,20230630,310
1163,20230703,300
1164,20230704,139
1165,20230705,274
1166,20230706,234
1167,20230707,264
1168,20230710,235
1169,20230711,224
1170,20230712,120
1171,20230713,100
1172,20230714,205
1173,20230717,175
1174,20230718,250
1175,20230719,200
1176,20230720,219
1177,20230721,224
1178,20230724,369
1179,20230725,225
1180,20230726,399
1181,20230727,189
1182,20230728,235
1183,20230731,160
1184,20230801,315
1185,20230802,135
1186,20230803,265
1187,20230804,170
1188,20230807,320
1189,20230808,220
1190,20230809,305
1191,20230810,100
1192,20230811,220
1193,20230814,235
1194,20230816,200
1195,20230817,340
1196,20230818,310
1197,20230821,190
1198,20230822,215
1199,20230823,215
1200,20230824,140
1201,20230825,160
1202,20230828,155
1203,20230829,140
1204,20230830,90
1205,20230831,135
1206,20230901,365
1207,20230904,90
1208,20230905,160
1209,20230906,120
1210,20230907,160
1211,20230908,180
1212,20230911,170
1213,20230912,195
1214,20230913,185
1215,20230914,105
1216,20230915,270
1217,20230918,165
1218,20230919,165
1219,20230920,125
1220,20230921,245
1221,20230922,160
1222,20230925,190
1223,20230926,405
1224,20230927,225
1225,20231004,450
1226,20231005,245
1227,20231006,175
1228,20231010,260
1229,20231011,200
1230,20231012,180
1231,20231013,195
1232,20231016,220
1233,20231017,140
1234,20231018,175
1235,20231019,155
1236,20231020,375
1237,20231023,185
1238,20231024,270
1239,20231025,190
1240,20231026,195
