,date,y_minmax
81088,20230106,187
81165,20230109,148
81242,20230110,113
81319,20230111,88
81396,20230112,98
81473,20230113,167
81550,20230116,88
81627,20230117,182
81704,20230118,113
81781,20230119,128
81858,20230120,197
81935,20230125,59
82012,20230126,108
82089,20230127,157
82166,20230130,128
82243,20230131,167
82320,20230201,109
82397,20230202,123
82474,20230203,133
82551,20230206,138
82628,20230207,113
82705,20230208,138
82782,20230209,49
82859,20230210,123
82936,20230213,192
83013,20230214,114
83090,20230215,153
83167,20230216,68
83244,20230217,162
83321,20230220,211
83398,20230221,142
83475,20230222,114
83552,20230223,118
83629,20230224,192
83706,20230227,84
83783,20230228,84
83860,20230302,153
83937,20230303,143
84014,20230306,118
84091,20230307,68
84168,20230308,69
84245,20230309,74
84322,20230310,74
84399,20230313,138
84476,20230314,88
84553,20230315,94
84630,20230316,123
84707,20230317,89
84784,20230320,133
84861,20230321,74
84938,20230322,79
85015,20230323,59
85092,20230324,69
85169,20230327,118
85246,20230328,93
85323,20230329,84
85400,20230330,73
85477,20230331,59
85554,20230403,132
85631,20230404,93
85708,20230405,113
85785,20230406,123
85862,20230407,103
85939,20230410,197
86016,20230411,123
86093,20230412,59
86170,20230413,133
86247,20230414,99
86324,20230417,118
86401,20230418,118
86478,20230419,119
86555,20230420,109
86632,20230421,93
86709,20230424,74
86786,20230425,69
86863,20230426,59
86940,20230427,90
87017,20230428,70
87094,20230502,175
87171,20230503,90
87248,20230504,94
87325,20230508,95
87402,20230509,75
87479,20230510,140
87556,20230511,60
87633,20230512,65
87710,20230515,105
87787,20230516,115
87864,20230517,89
87941,20230518,70
88018,20230519,55
88095,20230522,59
88172,20230523,85
88249,20230524,55
88326,20230525,85
88403,20230526,70
88480,20230530,55
88557,20230531,65
88634,20230601,79
88711,20230602,80
88788,20230605,35
88865,20230607,95
88942,20230608,60
89019,20230609,114
89096,20230612,55
89173,20230613,65
89250,20230614,85
89327,20230615,90
89404,20230616,75
89481,20230619,65
89558,20230620,55
89635,20230621,70
89712,20230622,69
89789,20230623,90
89866,20230626,70
89943,20230627,90
90020,20230628,90
90097,20230629,75
90174,20230630,120
90251,20230703,190
90328,20230704,79
90405,20230705,154
90482,20230706,149
90559,20230707,85
90636,20230710,150
90713,20230711,64
90790,20230712,110
90867,20230713,75
90944,20230714,135
91021,20230717,90
91098,20230718,70
91175,20230719,100
91252,20230720,85
91329,20230721,120
91406,20230724,120
91483,20230725,95
91560,20230726,170
91637,20230727,120
91714,20230728,170
91791,20230731,75
91868,20230801,65
91945,20230802,90
92022,20230803,145
92099,20230804,75
92176,20230807,85
92253,20230808,80
92330,20230809,120
92407,20230810,75
92484,20230811,140
92561,20230814,80
92638,20230816,75
92715,20230817,85
92792,20230818,110
92869,20230821,80
92946,20230822,135
93023,20230823,70
93100,20230824,60
93177,20230825,70
93254,20230828,100
93331,20230829,90
93408,20230830,40
93485,20230831,40
93562,20230901,150
93639,20230904,75
93716,20230905,155
93793,20230906,55
93870,20230907,100
93947,20230908,90
94024,20230911,60
94101,20230912,70
94178,20230913,90
94255,20230914,50
94332,20230915,80
94409,20230918,120
94486,20230919,90
94563,20230920,100
94640,20230921,70
94717,20230922,75
94794,20230925,95
94871,20230926,90
94948,20230927,140
95025,20231004,290
95102,20231005,80
95179,20231006,140
95256,20231010,105
95333,20231011,110
95410,20231012,80
95487,20231013,105
95564,20231016,95
95641,20231017,125
95718,20231018,70
95795,20231019,105
95872,20231020,100
95949,20231023,70
96026,20231024,90
96103,20231025,90
96180,20231026,75
