,date,open,high,low,close,volume
93102,202308230915,32950,32975,32935,32965,71079
93103,202308230920,32975,33030,32965,33020,98320
93104,202308230925,33030,33035,33000,33005,47334
93105,202308230930,33010,33045,33000,33025,50541
93106,202308230935,33025,33075,33000,33055,67468
93107,202308230940,33055,33065,33005,33020,17896
93108,202308230945,33015,33020,32970,32985,29097
93109,202308230950,32985,33005,32980,32980,22949
93110,202308230955,32980,33030,32955,33020,41769
93111,202308231000,33015,33015,32970,32985,18165
93177,202308240905,33345,33400,33340,33340,194989
93178,202308240910,33345,33420,33335,33395,103290
93179,202308240915,33395,33460,33390,33455,80256
93180,202308240920,33460,33465,33405,33405,29435
93181,202308240925,33405,33420,33370,33370,29646
93182,202308240930,33365,33390,33335,33385,39445
93183,202308240935,33385,33395,33365,33380,11234
93184,202308240940,33385,33400,33360,33370,35467
93185,202308240945,33375,33390,33345,33350,21792
93186,202308240950,33350,33360,33325,33335,34571
93187,202308240955,33330,33385,33325,33380,39827
93188,202308241000,33375,33385,33360,33385,19587
93254,202308250905,32980,33030,32960,33015,137955
93255,202308250910,33020,33070,33020,33035,99466
93256,202308250915,33035,33085,33020,33075,110858
93257,202308250920,33075,33075,33015,33045,67206
93258,202308250925,33045,33065,33025,33050,32448
93259,202308250930,33050,33090,33050,33075,30801
93260,202308250935,33080,33100,33065,33080,33981
93261,202308250940,33080,33095,33050,33070,29811
93262,202308250945,33070,33085,33050,33055,17825
93263,202308250950,33055,33075,33035,33075,25730
93264,202308250955,33075,33105,33075,33100,24025
93265,202308251000,33105,33120,33095,33105,15580
93331,202308280905,33290,33315,33215,33220,77418
93332,202308280910,33220,33230,33170,33205,19551
93333,202308280915,33210,33210,33160,33160,55472
93334,202308280920,33170,33190,33165,33180,14855
93335,202308280925,33175,33230,33175,33220,41223
93336,202308280930,33220,33270,33210,33220,34401
93337,202308280935,33225,33270,33210,33260,36079
93338,202308280940,33265,33280,33250,33265,26261
93339,202308280945,33255,33285,33255,33255,23768
93340,202308280950,33260,33300,33260,33295,41766
93341,202308280955,33300,33305,33275,33280,15608
93342,202308281000,33275,33295,33270,33280,20052
93408,202308290905,33470,33470,33380,33405,98200
93409,202308290910,33405,33405,33350,33370,100508
