,date,open,y_pred,y_test,profit_long,profit_short,real_profit_long,real_profit_short,real_profit,cumulative_profit,total_real_profit,kodex_cumulative_return
37,2023-05-16,32470.0,32282.968215021687,32210.0,-0.020760141206600212,-0.009239858793399633,0,0,0,0,0,0.03697568339169388
38,2023-05-17,32834.0,32658.26149460825,32734.0,-0.020352333111766596,-0.009647666888233307,0,0,0,0,0,0.04860054168410466
39,2023-05-18,33188.0,32478.76104391922,32504.0,-0.036370343379558225,0.006370343379558245,0,0,0,0,0,0.059906035737712804
40,2023-05-19,33412.0,32836.99638666794,32864.0,-0.032209493994135675,0.0022094939941356587,0,0,0,0,0,0.06705979468688872
41,2023-05-22,33742.0,33191.30712881946,33213.0,-0.031320694421804726,0.0013206944218048795,0,0,0,0,0,0.07759881456737094
42,2023-05-23,33527.0,33408.2296541162,33378.0,-0.018542528287165547,-0.011457471712834384,0,0,0,0,0,0.07073248343311733
43,2023-05-24,33767.0,33733.3873420614,33677.0,-0.01599542920421103,-0.014004570795788818,0,0,0,0,0,0.0783972251643772
44,2023-05-25,33627.0,33525.05422277466,33572.0,-0.018031664353803076,-0.011968335646196855,0,0,0,0,0,0.07392612582114233
45,2023-05-26,34026.0,33764.04378792077,33772.0,-0.022698707226216187,-0.007301292773783781,0,0,0,0,0,0.08666875894936177
46,2023-05-30,34096.0,33629.461575245594,33587.0,-0.028683083785617118,-0.0013169162143828067,0,0,0,0,0,0.08890430862097909
47,2023-05-31,33852.0,34023.37974583068,34006.0,-0.009937381961754666,-0.020062618038245265,0,0,0,0,0,0.08111182119419835
48,2023-06-01,34006.0,34098.65575788396,34086.0,-0.012275311477858025,-0.017724688522141985,0,0,0,0,0,0.08603003047175695
49,2023-06-02,34425.0,33846.88846720516,33847.0,-0.031793363334635956,0.0017933633346359562,0,0,0,0,0,0.09941139207758143
50,2023-06-05,34420.0,34007.90514552153,34011.0,-0.026972540804139026,-0.0030274591958609318,0,0,0,0,0,0.09925170995818022
51,2023-06-07,34141.0,34418.98219182248,34410.0,-0.00685781928407255,-0.02314218071592733,0,0,0,0,0,0.0903414476955906
52,2023-06-08,34375.0,34417.42207713419,34390.0,-0.013765903210641648,-0.016234096789358353,0,0,0,0,0,0.09781457088356915
53,2023-06-09,34735.0,34164.359712045705,34181.0,-0.031428394643854586,0.0014283946438547086,0,0,0,0,0,0.10931168348045883
54,2023-06-12,34630.0,34392.10086435892,34291.0,-0.021869741138927926,-0.008130258861071906,0,0,0,0,0,0.10595835897303263
55,2023-06-13,34595.0,34749.60716874909,34720.0,-0.01053093890015622,-0.019469061099843737,0,0,0,0,0,0.10484058413722375
56,2023-06-14,34510.0,34651.943072175534,34660.0,-0.010886900255707327,-0.019113099744292546,0,0,0,0,0,0.10212598810740259
57,2023-06-15,34480.0,34611.077123615454,34625.0,-0.011198459291895096,-0.018801540708104737,0,0,0,0,0,0.10116789539099535
58,2023-06-16,34370.0,34534.223612703536,34585.0,-0.01022189081456095,-0.019778109185439006,0,0,0,0,0,0.09765488876416795
59,2023-06-20,34156.0,34500.5133784996,34450.0,-0.00491353265898808,-0.025086467341011928,0,0,0,0,0,0.09669163928593338
60,2023-06-21,33837.0,34212.60877849296,34206.0,-0.0038994657182090018,-0.026100534281791016,0,0,0,0,0,0.08644908650070637
61,2023-06-22,34121.0,34180.516158285274,34121.0,-0.01325573229725743,-0.016744267702742493,0,0,0,0,0,0.09556784822799314
62,2023-06-23,33767.0,33861.40240913467,33871.0,-0.012204299785747167,-0.01779570021425268,0,0,0,0,0,0.08420150438482588
63,2023-06-26,33926.0,34145.858963490464,34091.0,-0.008519455182147487,-0.02148054481785248,0,0,0,0,0,0.08930672661946892
64,2023-06-27,34101.0,33792.56775508701,33792.0,-0.02404466862886689,-0.005955331371133075,0,0,0,0,0,0.09492568190917017
65,2023-06-28,33891.0,33952.26313652783,33916.0,-0.013192347923406494,-0.016807652076593387,0,0,0,0,0,0.08818293556152867
66,2023-06-29,33797.0,34122.20850548495,34046.0,-0.005377592523450078,-0.02462240747654981,0,0,0,0,0,0.08516475386306044
67,2023-06-30,34011.0,33912.487961052626,33946.0,-0.01789647581510005,-0.01210352418489979,0,0,0,0,0,0.0920359334744667
68,2023-07-03,34400.0,33823.36395821873,33762.0,-0.03176267563317641,0.0017626756331764078,0,0,0,0,0,0.10452606837557421
69,2023-07-05,33936.0,34032.94196722044,34126.0,-0.012143388518963787,-0.01785661148103605,0,0,0,0,0,0.09516731889188024
70,2023-07-06,33502.0,34241.341264284536,34306.0,0.007068570959481141,-0.03706857095948107,0,0,0,0,0,0.08116146621628295
71,2023-07-07,33268.0,33961.313702224485,33817.0,0.00584025797236046,-0.035840257972360484,0,0,0,0,0,0.07360992352944007
72,2023-07-10,33403.0,33529.2415012153,33457.0,-0.01122065379710501,-0.018779346202894887,0,0,0,0,0,0.07796658277184942
73,2023-07-11,33777.0,33292.42811531731,33228.0,-0.02934620850527554,-0.0006537914947243918,0,0,0,0,0,0.0900361424508207
74,2023-07-12,34246.0,33439.91425914579,33383.0,-0.03853809907300713,0.008538099073007201,0,0,0,0,0,0.10517149937445036
75,2023-07-13,34465.0,33801.2924915355,33732.0,-0.034257435324662563,0.004257435324662646,0,0,0,0,0,0.11223896881213657
76,2023-07-14,34595.0,34265.711302488875,34271.0,-0.024518389868799558,-0.0054816101312004,0,0,0,0,0,0.11643427030482711
77,2023-07-17,34735.0,34488.213664432464,34505.0,-0.022104831886210752,-0.007895168113789122,0,0,0,0,0,0.12095228729695529
78,2023-07-18,34610.0,34616.77145493488,34615.0,-0.01480434975628755,-0.015195650243712323,0,0,0,0,0,0.11691834355398378
79,2023-07-19,34156.0,34750.86276146049,34740.0,0.0024160546158945874,-0.0324160546158946,0,0,0,0,0,0.10226705987951101
80,2023-07-20,34026.0,34627.91006388895,34550.0,0.00268970974810295,-0.03268970974810292,0,0,0,0,0,0.0980717583868207
81,2023-07-21,34291.0,34180.13443896393,34221.0,-0.01823308043031906,-0.011766919569680822,0,0,0,0,0,0.10662371912192059
82,2023-07-24,34605.0,34050.247916144406,33976.0,-0.031030980605565407,0.0010309806055655748,0,0,0,0,0,0.11675698580426541
83,2023-07-25,34580.0,34313.46949304081,34221.0,-0.02270764913126632,-0.007292350868733511,0,0,0,0,0,0.11595019705567111
84,2023-07-26,34256.0,34628.33709220219,34665.0,-0.004130748125811635,-0.025869251874188374,0,0,0,0,0,0.10549421487388866
85,2023-07-27,34415.0,34591.0064587926,34555.0,-0.009885763219741273,-0.020114236780258643,0,0,0,0,0,0.11062539131494864
86,2023-07-28,34685.0,34282.44091367271,34306.0,-0.02660614347202775,-0.0033938565279721267,0,0,0,0,0,0.11933870979976735
87,2023-07-31,34720.0,34437.420683853474,34360.0,-0.023138805188551898,-0.006861194811448061,0,0,0,0,0,0.12046821404779928
88,2023-08-01,34975.0,34698.249196809935,34715.0,-0.02291281781815769,-0.00708718218184231,0,0,0,0,0,0.12869745928346132
89,2023-08-02,34450.0,34738.00309702548,34760.0,-0.006639968156009256,-0.02336003184399074,0,0,0,0,0,0.11175489556298057
