,date,volume
822,20220211,214456
823,20220214,241673
824,20220215,236336
825,20220216,350473
826,20220217,107546
827,20220218,197404
828,20220221,308085
829,20220222,234782
830,20220223,251333
831,20220224,236382
832,20220225,459215
833,20220228,231872
834,20220302,240713
835,20220303,267511
836,20220304,196422
837,20220307,496530
838,20220308,437197
839,20220310,495032
840,20220311,376425
841,20220314,181979
842,20220315,309120
843,20220316,373350
844,20220317,368422
845,20220318,127068
846,20220321,735288
847,20220322,158723
848,20220323,294233
849,20220324,168554
850,20220325,276355
851,20220328,238324
852,20220329,188904
853,20220330,289036
854,20220331,130613
855,20220401,199462
856,20220404,281690
857,20220405,177025
858,20220406,225724
859,20220407,249554
860,20220408,250629
861,20220411,179213
862,20220412,137518
863,20220413,228762
864,20220414,144752
865,20220415,309492
866,20220418,470079
867,20220419,282447
868,20220420,359249
869,20220421,169894
870,20220422,233231
871,20220425,387915
872,20220426,245915
873,20220427,483067
874,20220428,219930
875,20220429,374662
876,20220502,242223
877,20220503,282242
878,20220504,260964
879,20220506,378150
880,20220509,238780
881,20220510,343534
882,20220511,386293
883,20220512,366973
884,20220513,550461
885,20220516,342498
886,20220517,268477
887,20220518,449008
888,20220519,255665
889,20220520,276909
890,20220523,313659
891,20220524,198469
892,20220525,388425
893,20220526,236244
894,20220527,376244
895,20220530,265747
896,20220531,182374
897,20220602,235068
898,20220603,368480
899,20220607,298766
900,20220608,220536
901,20220609,144366
902,20220610,259743
903,20220613,394383
904,20220614,653082
905,20220615,319161
906,20220616,552814
907,20220617,731820
908,20220620,598588
909,20220621,542976
910,20220622,522750
911,20220623,435507
912,20220624,705850
913,20220627,348465
914,20220628,261316
915,20220629,358584
916,20220630,323119
917,20220701,364167
918,20220704,344667
919,20220705,478976
920,20220706,551571
921,20220707,578964
922,20220708,468858
923,20220711,379399
924,20220712,404170
925,20220713,343955
926,20220714,222099
927,20220715,483462
928,20220718,447280
929,20220719,237215
930,20220720,581870
931,20220721,496594
932,20220722,455680
933,20220725,280097
934,20220726,226486
935,20220727,211545
936,20220728,622311
937,20220729,370420
938,20220801,329888
939,20220802,301262
940,20220803,324935
941,20220804,261463
942,20220805,477104
943,20220808,244341
944,20220809,182328
945,20220810,244945
946,20220811,494390
947,20220812,491300
948,20220816,407466
949,20220817,584744
950,20220818,420283
951,20220819,459445
952,20220822,419061
953,20220823,295207
954,20220824,293334
955,20220825,335550
956,20220826,432164
957,20220829,408036
958,20220830,263687
959,20220831,186206
960,20220901,490132
961,20220902,569791
962,20220905,342066
963,20220906,302213
964,20220907,657146
965,20220908,245951
966,20220913,491000
967,20220914,286318
968,20220915,465188
969,20220916,694197
970,20220919,371205
971,20220920,600897
972,20220921,346711
973,20220922,375416
974,20220923,468295
975,20220926,475065
976,20220927,363648
977,20220928,386571
978,20220929,605775
979,20220930,422438
