,date,y_volume_1335
70143,20220613,162448
70220,20220614,190416
70297,20220615,359667
70374,20220616,69682
70451,20220617,81031
70528,20220620,22508
70605,20220621,9616
70682,20220622,178330
70759,20220623,187118
70836,20220624,53054
70913,20220627,13710
70990,20220628,37660
71067,20220629,40304
71144,20220630,24153
71221,20220701,52866
71298,20220704,35681
71375,20220705,36026
71452,20220706,133389
71529,20220707,20574
71606,20220708,55407
71683,20220711,30756
71760,20220712,21460
71837,20220713,38820
71914,20220714,18736
71991,20220715,19075
72068,20220718,30477
72145,20220719,17469
72222,20220720,98709
72299,20220721,40724
72376,20220722,53949
72453,20220725,23277
72530,20220726,24395
72607,20220727,13643
72684,20220728,93334
72761,20220729,22481
72838,20220801,24845
72915,20220802,91354
72992,20220803,15104
73069,20220804,18774
73146,20220805,56453
73223,20220808,20810
73300,20220809,23035
73377,20220810,37436
73454,20220811,21352
73531,20220812,14567
73608,20220816,34264
73685,20220817,17371
73762,20220818,14546
73839,20220819,22580
73916,20220822,58132
73993,20220823,19034
74070,20220824,24011
74147,20220825,47651
74224,20220826,28170
74301,20220829,14188
74378,20220830,12733
74455,20220831,20547
74532,20220901,80555
74609,20220902,58733
74686,20220905,21287
74763,20220906,21488
74840,20220907,40376
74917,20220908,129004
74994,20220913,23991
75071,20220914,45752
75148,20220915,74164
75225,20220916,15232
75302,20220919,54632
75379,20220920,89123
75456,20220921,49950
75533,20220922,148526
75610,20220923,35899
75687,20220926,125455
75764,20220927,73912
75841,20220928,107847
75918,20220929,45267
75995,20220930,44261
76072,20221004,25814
76149,20221005,106113
76226,20221006,23163
76303,20221007,63755
76380,20221011,38568
76457,20221012,14034
76534,20221013,32359
76611,20221014,85615
76688,20221017,49704
76765,20221018,118755
76842,20221019,54808
76919,20221020,84494
76996,20221021,44578
77073,20221024,48954
77150,20221025,62043
77227,20221026,15984
77304,20221027,69630
77381,20221028,50484
77458,20221031,35590
77535,20221101,53534
77612,20221102,11879
77689,20221103,38486
77766,20221104,38937
77843,20221107,34076
77920,20221108,36135
77997,20221109,82406
78074,20221110,112932
78151,20221111,102355
78228,20221114,61356
78305,20221115,14366
78382,20221116,21918
78447,20221117,55120
78536,20221118,117393
78613,20221121,18969
78690,20221122,76241
78767,20221123,27449
78844,20221124,65356
78921,20221125,20641
78998,20221128,20296
79075,20221129,29976
79152,20221130,25158
79229,20221201,5044
79306,20221202,43271
79383,20221205,39597
79460,20221206,54242
79537,20221207,10817
79614,20221208,34844
79691,20221209,11890
79768,20221212,3112
79845,20221213,26807
79922,20221214,30466
79999,20221215,74051
80076,20221216,16809
80153,20221219,23912
80230,20221220,55115
80307,20221221,43816
80384,20221222,19601
80461,20221223,25255
80538,20221226,16083
80615,20221227,27843
80692,20221228,24610
80769,20221229,35821
80834,20230102,46485
80911,20230103,93014
80988,20230104,59659
81065,20230105,37131
81142,20230106,30857
81219,20230109,32333
81296,20230110,40164
81373,20230111,39098
81450,20230112,96455
81527,20230113,28566
81604,20230116,187809
81681,20230117,38017
81758,20230118,75812
81835,20230119,22250
81912,20230120,11534
81989,20230125,33246
82066,20230126,27671
82143,20230127,44071
82220,20230130,24630
82297,20230131,34586
82374,20230201,111507
82451,20230202,53932
82528,20230203,30340
82605,20230206,20390
82682,20230207,27217
82759,20230208,14883
82836,20230209,12161
82913,20230210,187156
82990,20230213,45236
83067,20230214,47228
83144,20230215,48937
83221,20230216,9325
83298,20230217,26203
83375,20230220,17876
83452,20230221,18111
83529,20230222,101488
83606,20230223,8971
83683,20230224,17229
83760,20230227,55739
83837,20230228,30879
83914,20230302,41865
83991,20230303,17453
84068,20230306,17336
84145,20230307,26027
84222,20230308,124770
84299,20230309,55292
84376,20230310,37213
84453,20230313,281746
84530,20230314,71496
84607,20230315,39825
84684,20230316,14764
84761,20230317,32984
84838,20230320,18731
84915,20230321,5110
84992,20230322,45765
85069,20230323,39809
85146,20230324,16374
85223,20230327,20133
85300,20230328,30733
85377,20230329,19692
85454,20230330,21747
85531,20230331,41685
85608,20230403,13076
85685,20230404,29693
85762,20230405,17745
85839,20230406,44441
85916,20230407,16783
85993,20230410,22814
86070,20230411,9091
86147,20230412,8303
86224,20230413,13901
86301,20230414,52922
86378,20230417,2845
86455,20230418,24453
86532,20230419,41265
86609,20230420,5110
86686,20230421,26043
86763,20230424,7638
86840,20230425,19250
86917,20230426,14551
86994,20230427,19044
87071,20230428,12523
87148,20230502,38935
87225,20230503,3799
87302,20230504,18896
87379,20230508,16656
87456,20230509,13683
87533,20230510,17207
87610,20230511,15323
87687,20230512,22229
87764,20230515,7433
87841,20230516,13302
87918,20230517,31108
87995,20230518,17860
88072,20230519,8969
88149,20230522,11486
88226,20230523,21288
88303,20230524,19713
88380,20230525,32309
88457,20230526,16599
88534,20230530,20934
88611,20230531,84141
88688,20230601,13736
88765,20230602,69073
88842,20230605,80259
88919,20230607,8319
88996,20230608,52947
89073,20230609,13239
89150,20230612,25992
89227,20230613,27060
89304,20230614,7184
89381,20230615,6952
89458,20230616,21720
89535,20230619,13199
89612,20230620,22314
89689,20230621,34657
89766,20230622,4649
89843,20230623,26065
89920,20230626,7464
89997,20230627,9007
90074,20230628,11023
90151,20230629,15448
90228,20230630,14310
90305,20230703,23021
90382,20230704,66871
90459,20230705,32055
90536,20230706,18864
90613,20230707,13386
90690,20230710,24015
90767,20230711,5819
90844,20230712,26728
90921,20230713,7229
90998,20230714,42354
91075,20230717,36813
91152,20230718,5952
91229,20230719,12970
91306,20230720,11501
91383,20230721,11003
91460,20230724,48741
91537,20230725,12180
91614,20230726,66032
91691,20230727,14360
91768,20230728,17060
91845,20230731,4680
91922,20230801,31858
91999,20230802,59417
92076,20230803,7441
92153,20230804,21336
92230,20230807,5820
92307,20230808,25066
92384,20230809,10208
92461,20230810,14865
92538,20230811,10866
92615,20230814,19422
92692,20230816,19461
92769,20230817,22600
92846,20230818,121542
92923,20230821,34239
93000,20230822,37101
93077,20230823,9659
93154,20230824,4101
93231,20230825,19192
93308,20230828,10961
93385,20230829,24400
93462,20230830,5066
93539,20230831,14425
93616,20230901,12809
93693,20230904,4444
93770,20230905,16892
93847,20230906,9480
93924,20230907,10138
94001,20230908,8550
94078,20230911,10449
94155,20230912,3129
94232,20230913,26323
94309,20230914,29912
94386,20230915,66803
94463,20230918,21070
94540,20230919,13231
94617,20230920,37889
94694,20230921,10792
94771,20230922,54573
94848,20230925,22049
94925,20230926,25002
95002,20230927,9094
95079,20231004,17649
95156,20231005,22202
95233,20231006,6256
95310,20231010,28930
95387,20231011,7171
95464,20231012,14810
95541,20231013,13174
95618,20231016,17170
95695,20231017,16017
95772,20231018,13437
95849,20231019,30312
95926,20231020,35811
96003,20231023,24927
96080,20231024,19168
96157,20231025,19845
