,date,open
545,20201222,34893
546,20201223,34662
547,20201224,35293
548,20201228,35971
549,20201229,36254
550,20201230,36315
551,20210105,38194
552,20210106,39169
553,20210107,38995
554,20210108,39904
555,20210111,42014
556,20210112,40667
557,20210113,40963
558,20210114,40893
559,20210115,41194
560,20210118,39560
561,20210119,39277
562,20210120,40737
563,20210121,40690
564,20210122,41010
565,20210125,40907
566,20210126,41458
567,20210127,40634
568,20210128,39771
569,20210129,39964
570,20210201,38899
571,20210202,39993
572,20210203,40587
573,20210204,40332
574,20210205,40393
575,20210208,40280
576,20210209,40483
577,20210210,40073
578,20210215,40757
579,20210216,41063
580,20210217,40643
581,20210218,40507
582,20210219,40002
583,20210222,40408
584,20210223,39644
585,20210224,39634
586,20210225,39648
587,20210226,39408
588,20210302,40445
589,20210303,39766
590,20210304,39681
591,20210305,39153
592,20210308,39601
593,20210309,39069
594,20210310,39351
595,20210311,38993
596,20210312,39766
597,20210315,39677
598,20210316,39795
599,20210317,39762
600,20210318,40087
601,20210319,39295
602,20210322,39455
603,20210323,39752
604,20210324,38724
605,20210325,39092
606,20210326,39318
607,20210329,39465
608,20210330,39639
609,20210331,39983
610,20210401,40144
611,20210402,40648
612,20210405,40558
613,20210406,40865
614,20210407,40832
615,20210408,40658
616,20210409,40851
617,20210412,40587
618,20210413,40841
619,20210414,41138
620,20210415,41261
621,20210416,41473
622,20210419,41308
623,20210420,41393
624,20210421,41223
625,20210422,41082
626,20210423,40525
627,20210426,41044
628,20210427,41289
629,20210428,41266
630,20210429,41151
631,20210430,40730
632,20210503,40447
633,20210504,40208
634,20210506,40466
635,20210507,40869
636,20210510,41376
637,20210511,41525
638,20210512,40964
639,20210513,39897
640,20210514,40102
641,20210517,40380
642,20210518,40265
643,20210520,40414
644,20210521,40912
645,20210524,40433
646,20210525,40476
647,20210526,40816
648,20210527,40605
649,20210528,40759
650,20210531,40692
651,20210601,40907
652,20210602,41261
653,20210603,41405
654,20210604,41319
655,20210607,41621
656,20210608,41534
657,20210609,41324
658,20210610,40988
659,20210611,41453
660,20210614,41328
661,20210615,41530
662,20210616,41616
663,20210617,41395
664,20210618,41664
665,20210621,41314
666,20210622,41501
667,20210623,41683
668,20210624,41807
669,20210625,42066
670,20210628,42123
671,20210629,42004
672,20210630,42061
673,20210701,41894
674,20210702,41836
675,20210705,41922
676,20210706,42090
677,20210707,41894
678,20210708,41999
679,20210709,41194
680,20210712,41338
681,20210713,41635
682,20210714,41439
683,20210715,41654
684,20210716,41654
685,20210719,41209
686,20210720,41008
687,20210721,41204
688,20210722,41218
689,20210723,41357
690,20210726,41367
691,20210727,41324
692,20210728,41041
693,20210729,41338
694,20210730,41027
695,20210802,40873
696,20210803,41103
697,20210804,41396
698,20210805,41894
699,20210806,41799
700,20210809,41314
701,20210810,41372
702,20210811,40998
703,20210812,40763
704,20210813,40336
705,20210817,39962
706,20210818,39420
707,20210819,39483
708,20210820,39017
709,20210823,38763
710,20210824,39315
711,20210825,39804
712,20210826,39842
713,20210827,39267
714,20210830,39655
715,20210831,39473
716,20210901,40202
717,20210902,40259
718,20210903,40183
719,20210906,40307
720,20210907,40293
721,20210908,39919
722,20210909,39598
723,20210910,39152
724,20210913,39228
725,20210914,39559
726,20210915,39622
727,20210916,39554
728,20210917,39046
729,20210923,39305
730,20210924,39463
731,20210927,39329
732,20210928,39300
733,20210929,38428
734,20210930,38226
735,20211001,38384
736,20211005,37579
737,20211006,37397
738,20211007,37143
739,20211008,37358
740,20211012,36831
741,20211013,36759
742,20211014,37262
743,20211015,37862
744,20211018,37469
745,20211019,38030
746,20211020,38087
747,20211021,37891
748,20211022,37737
749,20211025,37521
750,20211026,38145
751,20211027,38188
752,20211028,38049
753,20211029,38020
754,20211101,37539
755,20211102,37996
756,20211103,37809
757,20211104,37924
758,20211105,37482
759,20211108,37242
760,20211109,37775
761,20211110,37386
762,20211111,36891
763,20211112,37371
764,20211115,37737
765,20211116,37847
766,20211117,37741
767,20211119,37496
768,20211122,38006
769,20211123,38188
770,20211124,38294
771,20211125,37833
772,20211126,37588
773,20211129,36804
774,20211130,37049
775,20211201,36180
776,20211202,36790
777,20211203,37174
778,20211206,37309
779,20211207,37592
780,20211208,38529
781,20211209,38280
782,20211210,38203
783,20211213,38491
784,20211214,37962
785,20211215,37876
786,20211216,38342
787,20211217,38102
788,20211220,37938
789,20211221,37919
790,20211222,38193
791,20211223,38121
792,20211224,38664
793,20211227,38467
794,20211228,38270
795,20211229,38707
796,20211230,38510
797,20220104,38337
798,20220105,38260
799,20220106,37741
800,20220107,37818
801,20220110,37588
802,20220111,37866
803,20220112,38159
