,Date,MINMAX_BTC
349,2020-12-14,83000.0
350,2020-12-15,234000.0
351,2020-12-16,1737000.0
352,2020-12-17,842000.0
353,2020-12-18,233000.0
354,2020-12-19,1034000.0
355,2020-12-20,44000.0
356,2020-12-21,-971000.0
357,2020-12-22,1454000.0
358,2020-12-23,20000.0
359,2020-12-24,484000.0
360,2020-12-25,898000.0
361,2020-12-26,2040000.0
362,2020-12-27,-973000.0
363,2020-12-28,175000.0
364,2020-12-29,1084000.0
365,2020-12-30,430000.0
366,2020-12-31,-57000.0
367,2021-01-01,111000.0
368,2021-01-02,2951000.0
369,2021-01-03,-1239000.0
370,2021-01-04,-638000.0
371,2021-01-05,2928000.0
372,2021-01-06,1680000.0
373,2021-01-07,3159000.0
374,2021-01-08,2724000.0
375,2021-01-09,-100000.0
376,2021-01-10,-3049000.0
377,2021-01-11,2436000.0
378,2021-01-12,-1574000.0
379,2021-01-13,3182000.0
380,2021-01-14,198000.0
381,2021-01-15,-595000.0
382,2021-01-16,-400000.0
383,2021-01-17,531000.0
384,2021-01-18,422000.0
385,2021-01-19,-329000.0
386,2021-01-20,23000.0
387,2021-01-21,-4228000.0
388,2021-01-22,1569000.0
389,2021-01-23,-1098000.0
390,2021-01-24,-273000.0
391,2021-01-25,-502000.0
392,2021-01-26,1008000.0
393,2021-01-27,-890000.0
394,2021-01-28,1750000.0
395,2021-01-29,1999000.0
396,2021-01-30,-145000.0
397,2021-01-31,-418000.0
398,2021-02-01,-260000.0
399,2021-02-02,1197000.0
400,2021-02-03,455000.0
401,2021-02-04,-464000.0
402,2021-02-05,454000.0
403,2021-02-06,-301000.0
404,2021-02-07,139000.0
405,2021-02-08,7308000.0
406,2021-02-09,-1762000.0
407,2021-02-10,-343000.0
408,2021-02-11,2813000.0
409,2021-02-12,-145000.0
410,2021-02-13,-509000.0
411,2021-02-14,320000.0
412,2021-02-15,1031000.0
413,2021-02-16,1362000.0
414,2021-02-17,1385000.0
415,2021-02-18,865000.0
416,2021-02-19,5680000.0
417,2021-02-20,793000.0
418,2021-02-21,1194000.0
419,2021-02-22,-2142000.0
420,2021-02-23,-552000.0
421,2021-02-24,778000.0
422,2021-02-25,-2882000.0
423,2021-02-26,981000.0
424,2021-02-27,-947000.0
425,2021-02-28,20000.0
426,2021-03-01,3852000.0
427,2021-03-02,428000.0
428,2021-03-03,1480000.0
429,2021-03-04,-693000.0
430,2021-03-05,1656000.0
431,2021-03-06,112000.0
432,2021-03-07,1554000.0
433,2021-03-08,2636000.0
434,2021-03-09,1764000.0
435,2021-03-10,2046000.0
436,2021-03-11,2227000.0
437,2021-03-12,957000.0
438,2021-03-13,4991000.0
439,2021-03-14,-1734000.0
440,2021-03-15,-623000.0
441,2021-03-16,2409000.0
442,2021-03-17,3877000.0
443,2021-03-18,-827000.0
444,2021-03-19,-55000.0
445,2021-03-20,-773000.0
446,2021-03-21,-77000.0
447,2021-03-22,-2895000.0
448,2021-03-23,1349000.0
449,2021-03-24,-1085000.0
450,2021-03-25,-1167000.0
451,2021-03-26,1533000.0
452,2021-03-27,1111000.0
453,2021-03-28,348000.0
454,2021-03-29,1731000.0
455,2021-03-30,1190000.0
456,2021-03-31,510000.0
457,2021-04-01,874000.0
458,2021-04-02,-68000.0
459,2021-04-03,-2610000.0
460,2021-04-04,991000.0
461,2021-04-05,4230000.0
462,2021-04-06,113000.0
463,2021-04-07,-866000.0
464,2021-04-08,3391000.0
465,2021-04-09,1145000.0
466,2021-04-10,297000.0
467,2021-04-11,1628000.0
468,2021-04-12,-462000.0
469,2021-04-13,2280000.0
470,2021-04-14,-735000.0
471,2021-04-15,173000.0
472,2021-04-16,-136000.0
473,2021-04-17,-152000.0
474,2021-04-18,1037000.0
475,2021-04-19,-1374000.0
476,2021-04-20,2471000.0
477,2021-04-21,-610000.0
478,2021-04-22,-4987000.0
479,2021-04-23,4386000.0
480,2021-04-24,1838000.0
481,2021-04-25,-704000.0
482,2021-04-26,1461000.0
483,2021-04-27,307000.0
484,2021-04-28,411000.0
485,2021-04-29,-151000.0
486,2021-04-30,4197000.0
487,2021-05-01,199000.0
488,2021-05-02,944000.0
489,2021-05-03,205000.0
490,2021-05-04,-2292000.0
491,2021-05-05,501000.0
492,2021-05-06,-255000.0
493,2021-05-07,1205000.0
494,2021-05-08,2311000.0
495,2021-05-09,-421000.0
496,2021-05-10,-95000.0
497,2021-05-11,32000.0
498,2021-05-12,-6783000.0
499,2021-05-13,-522000.0
500,2021-05-14,0.0
501,2021-05-15,-1380000.0
502,2021-05-16,-1800000.0
503,2021-05-17,-1106000.0
504,2021-05-18,-1543000.0
505,2021-05-19,821000.0
506,2021-05-20,-372000.0
507,2021-05-21,-49000.0
508,2021-05-22,1817000.0
509,2021-05-23,-2716000.0
510,2021-05-24,3687000.0
511,2021-05-25,200000.0
512,2021-05-26,-1195000.0
513,2021-05-27,409000.0
514,2021-05-28,-1068000.0
515,2021-05-29,-1287000.0
516,2021-05-30,435000.0
517,2021-05-31,1214000.0
518,2021-06-01,-114000.0
519,2021-06-02,544000.0
520,2021-06-03,719000.0
521,2021-06-04,-258000.0
522,2021-06-05,-1565000.0
523,2021-06-06,-179000.0
524,2021-06-07,-2378000.0
525,2021-06-08,278000.0
526,2021-06-09,4258000.0
527,2021-06-10,391000.0
528,2021-06-11,961000.0
529,2021-06-12,166000.0
530,2021-06-13,3578000.0
531,2021-06-14,941000.0
532,2021-06-15,74000.0
533,2021-06-16,-976000.0
534,2021-06-17,-873000.0
535,2021-06-18,-1443000.0
536,2021-06-19,384000.0
537,2021-06-20,-28000.0
538,2021-06-21,-1134000.0
539,2021-06-22,-426000.0
540,2021-06-23,14000.0
541,2021-06-24,1637000.0
542,2021-06-25,-2086000.0
543,2021-06-26,1036000.0
544,2021-06-27,1606000.0
545,2021-06-28,-69000.0
546,2021-06-29,843000.0
547,2021-06-30,189000.0
548,2021-07-01,138000.0
549,2021-07-02,847000.0
550,2021-07-03,738000.0
551,2021-07-04,-216000.0
552,2021-07-05,-354000.0
553,2021-07-06,-397000.0
554,2021-07-07,-630000.0
555,2021-07-08,182000.0
556,2021-07-09,1068000.0
557,2021-07-10,-172000.0
558,2021-07-11,734000.0
559,2021-07-12,-1168000.0
560,2021-07-13,-297000.0
561,2021-07-14,826000.0
562,2021-07-15,-663000.0
563,2021-07-16,-115000.0
564,2021-07-17,44000.0
565,2021-07-18,115000.0
566,2021-07-19,-678000.0
567,2021-07-20,-96000.0
568,2021-07-21,1601000.0
569,2021-07-22,-105000.0
570,2021-07-23,1120000.0
571,2021-07-24,644000.0
572,2021-07-25,735000.0
573,2021-07-26,-1565000.0
574,2021-07-27,2496000.0
575,2021-07-28,348000.0
576,2021-07-29,-214000.0
577,2021-07-30,2769000.0
578,2021-07-31,118000.0
579,2021-08-01,-1941000.0
580,2021-08-02,-949000.0
581,2021-08-03,-16000.0
582,2021-08-04,1651000.0
583,2021-08-05,2086000.0
584,2021-08-06,2109000.0
585,2021-08-07,1425000.0
586,2021-08-08,-534000.0
587,2021-08-09,2466000.0
588,2021-08-10,-22000.0
589,2021-08-11,-520000.0
590,2021-08-12,-332000.0
591,2021-08-13,1662000.0
592,2021-08-14,-425000.0
593,2021-08-15,677000.0
594,2021-08-16,-1066000.0
595,2021-08-17,-881000.0
596,2021-08-18,-132000.0
597,2021-08-19,2464000.0
598,2021-08-20,2395000.0
599,2021-08-21,402000.0
600,2021-08-22,110000.0
601,2021-08-23,-758000.0
602,2021-08-24,-1449000.0
603,2021-08-25,559000.0
604,2021-08-26,375000.0
605,2021-08-27,1955000.0
606,2021-08-28,-18000.0
607,2021-08-29,363000.0
608,2021-08-30,-562000.0
609,2021-08-31,-337000.0
610,2021-09-01,1270000.0
611,2021-09-02,-837000.0
612,2021-09-03,302000.0
613,2021-09-04,-242000.0
614,2021-09-05,1748000.0
615,2021-09-06,1469000.0
616,2021-09-07,-3726000.0
617,2021-09-08,1636000.0
618,2021-09-09,909000.0
619,2021-09-10,-1006000.0
620,2021-09-11,320000.0
621,2021-09-12,630000.0
622,2021-09-13,51000.0
623,2021-09-14,1476000.0
624,2021-09-15,802000.0
625,2021-09-16,-63000.0
626,2021-09-17,398000.0
627,2021-09-18,-59000.0
628,2021-09-19,-103000.0
629,2021-09-20,-2442000.0
630,2021-09-21,-2175000.0
631,2021-09-22,1388000.0
632,2021-09-23,637000.0
633,2021-09-24,-1709000.0
634,2021-09-25,724000.0
635,2021-09-26,1425000.0
636,2021-09-27,-1051000.0
637,2021-09-28,-699000.0
638,2021-09-29,-645000.0
639,2021-09-30,801000.0
640,2021-10-01,3877000.0
641,2021-10-02,26000.0
642,2021-10-03,262000.0
643,2021-10-04,2168000.0
644,2021-10-05,1650000.0
645,2021-10-06,5102000.0
646,2021-10-07,-728000.0
647,2021-10-08,-350000.0
648,2021-10-09,-240000.0
649,2021-10-10,43000.0
650,2021-10-11,1300000.0
651,2021-10-12,-1486000.0
652,2021-10-13,2322000.0
653,2021-10-14,-450000.0
654,2021-10-15,3705000.0
655,2021-10-16,-1106000.0
656,2021-10-17,1449000.0
657,2021-10-18,-165000.0
658,2021-10-19,2585000.0
659,2021-10-20,1483000.0
660,2021-10-21,-2872000.0
661,2021-10-22,-2023000.0
662,2021-10-23,519000.0
663,2021-10-24,26000.0
664,2021-10-25,345000.0
665,2021-10-26,-1762000.0
666,2021-10-27,-433000.0
667,2021-10-28,1466000.0
668,2021-10-29,1495000.0
669,2021-10-30,-280000.0
670,2021-10-31,-321000.0
671,2021-11-01,-1091000.0
672,2021-11-02,1306000.0
673,2021-11-03,777000.0
674,2021-11-04,-272000.0
675,2021-11-05,-651000.0
676,2021-11-06,696000.0
677,2021-11-07,1509000.0
678,2021-11-08,1586000.0
679,2021-11-09,-714000.0
680,2021-11-10,-436000.0
681,2021-11-11,-78000.0
682,2021-11-12,-11000.0
683,2021-11-13,540000.0
684,2021-11-14,794000.0
685,2021-11-15,-1599000.0
686,2021-11-16,-575000.0
687,2021-11-17,803000.0
688,2021-11-18,-2514000.0
689,2021-11-19,2125000.0
690,2021-11-20,1004000.0
691,2021-11-21,-89000.0
692,2021-11-22,-1058000.0
693,2021-11-23,2090000.0
694,2021-11-24,1175000.0
695,2021-11-25,1355000.0
696,2021-11-26,-3470000.0
697,2021-11-27,534000.0
698,2021-11-28,2881000.0
699,2021-11-29,-57000.0
700,2021-11-30,241000.0
701,2021-12-01,323000.0
702,2021-12-02,-65000.0
703,2021-12-03,-2374000.0
704,2021-12-04,1700000.0
705,2021-12-05,-740000.0
706,2021-12-06,3658000.0
707,2021-12-07,280000.0
708,2021-12-08,-508000.0
709,2021-12-09,-1487000.0
710,2021-12-10,23000.0
711,2021-12-11,1480000.0
712,2021-12-12,666000.0
713,2021-12-13,-1869000.0
714,2021-12-14,2203000.0
715,2021-12-15,1730000.0
716,2021-12-16,-1028000.0
717,2021-12-17,-313000.0
718,2021-12-18,580000.0
719,2021-12-19,-745000.0
720,2021-12-20,479000.0
721,2021-12-21,369000.0
722,2021-12-22,-300000.0
723,2021-12-23,2237000.0
724,2021-12-24,-108000.0
725,2021-12-25,-861000.0
726,2021-12-26,789000.0
727,2021-12-27,81000.0
728,2021-12-28,-1452000.0
729,2021-12-29,-751000.0
730,2021-12-30,-98000.0
731,2021-12-31,-430000.0
732,2022-01-01,605000.0
733,2022-01-02,43000.0
734,2022-01-03,-398000.0
735,2022-01-04,-455000.0
736,2022-01-05,-2613000.0
737,2022-01-06,193000.0
738,2022-01-07,139000.0
739,2022-01-08,584000.0
740,2022-01-09,-271000.0
741,2022-01-10,-250000.0
742,2022-01-11,1102000.0
743,2022-01-12,1476000.0
744,2022-01-13,-1295000.0
745,2022-01-14,300000.0
746,2022-01-15,212000.0
747,2022-01-16,-118000.0
748,2022-01-17,-536000.0
749,2022-01-18,262000.0
750,2022-01-19,455000.0
751,2022-01-20,-1011000.0
752,2022-01-21,-2285000.0
753,2022-01-22,-372000.0
754,2022-01-23,429000.0
755,2022-01-24,1526000.0
756,2022-01-25,1242000.0
757,2022-01-26,-121000.0
758,2022-01-27,1274000.0
759,2022-01-28,998000.0
760,2022-01-29,372000.0
761,2022-01-30,12000.0
762,2022-01-31,1363000.0
763,2022-02-01,565000.0
764,2022-02-02,-1812000.0
765,2022-02-03,114000.0
766,2022-02-04,4258000.0
767,2022-02-05,273000.0
768,2022-02-06,993000.0
769,2022-02-07,1439000.0
770,2022-02-08,-689000.0
771,2022-02-09,796000.0
772,2022-02-10,-93000.0
773,2022-02-11,-726000.0
774,2022-02-12,168000.0
775,2022-02-13,-104000.0
776,2022-02-14,455000.0
777,2022-02-15,1027000.0
778,2022-02-16,23000.0
779,2022-02-17,-3454000.0
780,2022-02-18,-359000.0
781,2022-02-19,-65000.0
782,2022-02-20,-233000.0
783,2022-02-21,-2128000.0
784,2022-02-22,1646000.0
785,2022-02-23,-738000.0
786,2022-02-24,4044000.0
787,2022-02-25,989000.0
788,2022-02-26,189000.0
789,2022-02-27,-1075000.0
790,2022-02-28,5545000.0
791,2022-03-01,1299000.0
792,2022-03-02,277000.0
793,2022-03-03,-1082000.0
794,2022-03-04,-2173000.0
795,2022-03-05,327000.0
796,2022-03-06,-876000.0
797,2022-03-07,107000.0
798,2022-03-08,446000.0
799,2022-03-09,141000.0
800,2022-03-10,93000.0
801,2022-03-11,-363000.0
802,2022-03-12,-220000.0
803,2022-03-13,-1204000.0
804,2022-03-14,999000.0
805,2022-03-15,752000.0
806,2022-03-16,1570000.0
807,2022-03-17,221000.0
808,2022-03-18,1112000.0
809,2022-03-19,423000.0
810,2022-03-20,-619000.0
811,2022-03-21,42000.0
812,2022-03-22,352000.0
813,2022-03-23,734000.0
814,2022-03-24,693000.0
815,2022-03-25,640000.0
816,2022-03-26,-31000.0
817,2022-03-27,1884000.0
818,2022-03-28,600000.0
819,2022-03-29,-167000.0
820,2022-03-30,-395000.0
821,2022-03-31,-1285000.0
822,2022-04-01,1598000.0
823,2022-04-02,-515000.0
824,2022-04-03,171000.0
825,2022-04-04,659000.0
826,2022-04-05,-855000.0
827,2022-04-06,-2603000.0
828,2022-04-07,78000.0
829,2022-04-08,-1047000.0
830,2022-04-09,437000.0
831,2022-04-10,-268000.0
832,2022-04-11,-2619000.0
833,2022-04-12,252000.0
834,2022-04-13,1251000.0
835,2022-04-14,-1349000.0
836,2022-04-15,783000.0
837,2022-04-16,3000.0
838,2022-04-17,-425000.0
839,2022-04-18,1851000.0
840,2022-04-19,730000.0
841,2022-04-20,76000.0
842,2022-04-21,-1025000.0
843,2022-04-22,-519000.0
844,2022-04-23,37000.0
845,2022-04-24,-274000.0
846,2022-04-25,1933000.0
847,2022-04-26,-2168000.0
848,2022-04-27,823000.0
849,2022-04-28,451000.0
850,2022-04-29,-263000.0
851,2022-04-30,-356000.0
852,2022-05-01,367000.0
853,2022-05-02,-321000.0
854,2022-05-03,-613000.0
855,2022-05-04,1380000.0
856,2022-05-05,-2793000.0
857,2022-05-06,-66000.0
858,2022-05-07,-175000.0
859,2022-05-08,-825000.0
860,2022-05-09,-2915000.0
861,2022-05-10,-1285000.0
862,2022-05-11,-1317000.0
863,2022-05-12,1149000.0
864,2022-05-13,-720000.0
865,2022-05-14,426000.0
866,2022-05-15,1310000.0
867,2022-05-16,181000.0
868,2022-05-17,-177000.0
869,2022-05-18,-1327000.0
870,2022-05-19,1122000.0
871,2022-05-20,-889000.0
872,2022-05-21,-45000.0
873,2022-05-22,950000.0
874,2022-05-23,-1579000.0
875,2022-05-24,312000.0
876,2022-05-25,28000.0
877,2022-05-26,-251000.0
878,2022-05-27,-275000.0
879,2022-05-28,189000.0
880,2022-05-29,427000.0
881,2022-05-30,1179000.0
882,2022-05-31,385000.0
883,2022-06-01,-1815000.0
884,2022-06-02,393000.0
885,2022-06-03,-344000.0
886,2022-06-04,68000.0
887,2022-06-05,202000.0
888,2022-06-06,168000.0
889,2022-06-07,1814000.0
890,2022-06-08,56000.0
891,2022-06-09,-262000.0
892,2022-06-10,-679000.0
893,2022-06-11,-600000.0
894,2022-06-12,-794000.0
895,2022-06-13,-3479000.0
896,2022-06-14,-285000.0
897,2022-06-15,1675000.0
898,2022-06-16,-1452000.0
899,2022-06-17,-594000.0
900,2022-06-18,-579000.0
901,2022-06-19,2361000.0
902,2022-06-20,624000.0
903,2022-06-21,-275000.0
904,2022-06-22,-192000.0
905,2022-06-23,803000.0
906,2022-06-24,522000.0
907,2022-06-25,-9000.0
908,2022-06-26,-335000.0
909,2022-06-27,-682000.0
910,2022-06-28,-464000.0
911,2022-06-29,296000.0
912,2022-06-30,475000.0
913,2022-07-01,-127000.0
914,2022-07-02,44000.0
915,2022-07-03,132000.0
916,2022-07-04,1218000.0
917,2022-07-05,9000.0
918,2022-07-06,393000.0
919,2022-07-07,1398000.0
920,2022-07-08,-147000.0
921,2022-07-09,-38000.0
922,2022-07-10,-493000.0
923,2022-07-11,-381000.0
924,2022-07-12,-338000.0
925,2022-07-13,831000.0
926,2022-07-14,763000.0
927,2022-07-15,24000.0
928,2022-07-16,641000.0
929,2022-07-17,-800000.0
930,2022-07-18,293000.0
931,2022-07-19,2108000.0
932,2022-07-20,-623000.0
933,2022-07-21,197000.0
934,2022-07-22,-516000.0
935,2022-07-23,-378000.0
936,2022-07-24,-151000.0
937,2022-07-25,-520000.0
938,2022-07-26,182000.0
939,2022-07-27,1752000.0
940,2022-07-28,1052000.0
941,2022-07-29,125000.0
942,2022-07-30,-235000.0
943,2022-07-31,-648000.0
944,2022-08-01,248000.0
945,2022-08-02,433000.0
946,2022-08-03,-28000.0
947,2022-08-04,-427000.0
948,2022-08-05,72000.0
949,2022-08-06,-144000.0
950,2022-08-07,185000.0
