Date,Price,Open,High,Low,High-low,Change %
07/08/2021,612.25 ,615.00 ,618.00 ,611.75 ,6.25 ,(0.00)
07/07/2021,614.75 ,626.00 ,626.00 ,613.75 ,12.25 ,(0.01)
07/06/2021,620.00 ,634.75 ,634.75 ,611.00 ,23.75 ,(0.04)
07/02/2021,645.75 ,661.00 ,662.00 ,643.75 ,18.25 ,(0.02)
07/01/2021,658.50 ,667.75 ,683.00 ,663.00 ,20.00 ,(0.02)
06/30/2021,671.50 ,640.50 ,673.00 ,627.50 ,45.50 ,0.05 
06/29/2021,639.75 ,651.00 ,657.75 ,638.25 ,19.50 ,(0.01)
06/28/2021,646.00 ,638.00 ,655.00 ,637.00 ,18.00 ,0.01 
06/25/2021,637.00 ,650.50 ,656.75 ,634.50 ,22.25 ,(0.02)
06/24/2021,651.25 ,660.25 ,660.75 ,642.00 ,18.75 ,(0.02)
06/23/2021,661.25 ,653.25 ,668.25 ,653.25 ,15.00 ,0.02 
06/22/2021,651.00 ,666.25 ,672.75 ,650.75 ,22.00 ,(0.02)
06/21/2021,661.50 ,657.00 ,673.50 ,646.50 ,27.00 ,(0.00)
06/18/2021,662.75 ,639.00 ,668.50 ,639.00 ,29.50 ,0.04 
06/17/2021,639.00 ,663.75 ,667.00 ,637.25 ,29.75 ,(0.04)
06/16/2021,662.75 ,662.00 ,672.75 ,658.75 ,14.00 ,0.00 
06/15/2021,661.50 ,674.50 ,676.25 ,649.00 ,27.25 ,(0.02)
06/14/2021,674.50 ,680.50 ,680.75 ,657.00 ,23.75 ,(0.01)
06/11/2021,680.75 ,682.25 ,688.00 ,669.50 ,18.50 ,(0.00)
06/10/2021,683.75 ,684.00 ,689.25 ,672.75 ,16.50 ,0.00 
06/09/2021,682.25 ,685.00 ,686.00 ,673.50 ,12.50 ,(0.00)
06/08/2021,685.00 ,682.50 ,699.25 ,680.25 ,19.00 ,0.01 
06/07/2021,680.00 ,694.25 ,704.00 ,678.50 ,25.50 ,(0.01)
06/04/2021,687.75 ,678.50 ,690.25 ,676.25 ,14.00 ,0.02 
06/03/2021,676.25 ,689.50 ,699.25 ,669.25 ,30.00 ,(0.02)
06/02/2021,687.50 ,692.00 ,701.50 ,681.50 ,20.00 ,(0.01)
06/01/2021,693.50 ,673.25 ,702.00 ,672.00 ,30.00 ,0.03 
05/31/2021,673.62 ,673.62 ,673.62 ,673.62 ,0.00 ,0.01 
05/30/2021,664.12 ,664.12 ,664.12 ,664.12 ,0.00 ,0.00 
05/28/2021,663.50 ,676.00 ,679.75 ,661.25 ,18.50 ,(0.02)
05/27/2021,676.25 ,648.25 ,679.50 ,648.00 ,31.50 ,0.04 
05/26/2021,648.50 ,657.00 ,657.75 ,639.50 ,18.25 ,(0.01)
05/25/2021,656.50 ,663.25 ,667.50 ,646.75 ,20.75 ,(0.01)
05/24/2021,662.25 ,667.00 ,668.75 ,653.25 ,15.50 ,(0.02)
05/21/2021,674.25 ,675.50 ,677.50 ,665.75 ,11.75 ,(0.00)
05/20/2021,675.25 ,682.25 ,688.00 ,672.25 ,15.75 ,(0.01)
05/19/2021,679.25 ,698.00 ,699.00 ,671.50 ,27.50 ,(0.03)
05/18/2021,698.00 ,702.50 ,718.50 ,692.50 ,26.00 ,(0.00)
05/17/2021,699.75 ,704.00 ,707.50 ,692.00 ,15.50 ,(0.04)
05/14/2021,727.25 ,730.25 ,730.25 ,727.25 ,3.00 ,0.00 
05/13/2021,726.50 ,750.00 ,756.50 ,737.00 ,19.50 ,(0.04)
05/12/2021,754.75 ,763.00 ,763.00 ,746.50 ,16.50 ,(0.01)
05/11/2021,759.75 ,742.75 ,765.00 ,742.75 ,22.25 ,0.02 
05/10/2021,742.50 ,768.50 ,769.00 ,746.00 ,23.00 ,(0.04)
05/07/2021,773.50 ,771.00 ,771.00 ,760.50 ,10.50 ,0.01 
05/06/2021,764.25 ,761.00 ,763.50 ,745.00 ,18.50 ,0.01 
05/05/2021,755.75 ,737.75 ,754.50 ,737.50 ,17.00 ,0.03 
05/04/2021,737.00 ,731.25 ,737.50 ,730.00 ,7.50 ,0.02 
05/03/2021,725.50 ,753.25 ,753.25 ,726.75 ,26.50 ,(0.02)
04/30/2021,742.50 ,741.00 ,745.50 ,728.50 ,17.00 ,0.01 
04/29/2021,737.50 ,722.25 ,738.75 ,712.75 ,26.00 ,0.02 
04/28/2021,725.25 ,734.25 ,743.75 ,713.50 ,30.25 ,(0.01)
04/27/2021,733.75 ,737.00 ,773.00 ,726.75 ,46.25 ,(0.01)
04/26/2021,739.50 ,712.75 ,745.25 ,712.75 ,32.50 ,0.04 
04/23/2021,710.25 ,709.75 ,714.75 ,701.00 ,13.75 ,0.00 
04/22/2021,710.25 ,673.75 ,713.25 ,672.00 ,41.25 ,0.06 
04/21/2021,673.25 ,662.75 ,678.75 ,658.75 ,20.00 ,0.02 
04/20/2021,659.75 ,651.50 ,679.00 ,650.25 ,28.75 ,0.01 
04/19/2021,652.25 ,653.00 ,660.75 ,651.00 ,9.75 ,(0.00)
04/16/2021,652.50 ,652.50 ,659.75 ,648.25 ,11.50 ,(0.00)
04/15/2021,653.75 ,647.25 ,657.75 ,639.00 ,18.75 ,0.01 
04/14/2021,648.00 ,630.75 ,655.75 ,630.75 ,25.00 ,0.03 
04/13/2021,629.75 ,630.25 ,637.25 ,628.25 ,9.00 ,0.00 
04/12/2021,628.00 ,638.00 ,639.00 ,623.00 ,16.00 ,(0.02)
04/09/2021,638.75 ,628.75 ,646.50 ,627.25 ,19.25 ,0.02 
04/08/2021,628.75 ,618.00 ,631.50 ,616.00 ,15.50 ,0.02 
04/07/2021,616.25 ,615.00 ,619.75 ,609.75 ,10.00 ,0.00 
04/06/2021,615.50 ,622.00 ,627.50 ,613.75 ,13.75 ,(0.00)
04/05/2021,618.00 ,607.00 ,625.00 ,607.00 ,18.00 ,0.01 
04/01/2021,611.00 ,623.00 ,625.75 ,601.25 ,24.50 ,(0.01)
03/31/2021,618.00 ,603.25 ,631.75 ,593.25 ,38.50 ,0.03 
03/30/2021,601.75 ,616.25 ,616.75 ,600.50 ,16.25 ,(0.02)
03/29/2021,616.75 ,615.75 ,617.75 ,607.25 ,10.50 ,0.01 
03/26/2021,613.25 ,611.00 ,619.00 ,608.25 ,10.75 ,0.00 
03/25/2021,612.50 ,624.75 ,625.50 ,609.00 ,16.50 ,(0.02)
03/24/2021,624.75 ,635.00 ,638.75 ,624.00 ,14.75 ,(0.02)
03/23/2021,634.75 ,628.00 ,644.50 ,621.00 ,23.50 ,0.01 
03/22/2021,627.25 ,627.50 ,630.75 ,621.25 ,9.50 ,0.00 
03/19/2021,627.00 ,629.00 ,635.50 ,621.75 ,13.75 ,(0.01)
03/18/2021,630.50 ,640.00 ,641.00 ,629.00 ,12.00 ,(0.01)
03/17/2021,640.00 ,646.25 ,649.50 ,639.25 ,10.25 ,(0.01)
03/16/2021,647.00 ,645.50 ,648.00 ,631.75 ,16.25 ,0.00 
03/15/2021,645.00 ,637.75 ,647.75 ,636.00 ,11.75 ,0.02 
03/12/2021,631.75 ,642.88 ,645.60 ,637.60 ,8.00 ,(0.01)
03/11/2021,636.25 ,650.00 ,650.00 ,636.75 ,13.25 ,(0.02)
03/10/2021,650.75 ,653.25 ,653.75 ,643.50 ,10.25 ,(0.01)
03/09/2021,656.50 ,654.75 ,655.00 ,650.75 ,4.25 ,0.02 
03/08/2021,646.50 ,659.50 ,659.50 ,642.50 ,17.00 ,(0.01)
03/05/2021,654.00 ,649.50 ,657.50 ,647.00 ,10.50 ,0.01 
03/04/2021,649.75 ,653.00 ,658.00 ,648.75 ,9.25 ,(0.00)
03/03/2021,652.00 ,658.25 ,658.25 ,645.75 ,12.50 ,(0.02)
03/02/2021,663.25 ,645.50 ,663.25 ,640.00 ,23.25 ,0.03 
03/01/2021,643.75 ,661.00 ,661.00 ,643.00 ,18.00 ,(0.02)
02/26/2021,655.00 ,665.00 ,665.75 ,653.00 ,12.75 ,(0.02)
02/25/2021,671.75 ,677.25 ,680.50 ,658.75 ,21.75 ,(0.01)
02/24/2021,680.25 ,665.50 ,683.50 ,665.00 ,18.50 ,0.02 
02/23/2021,665.75 ,666.50 ,667.75 ,656.50 ,11.25 ,0.00 
02/22/2021,664.00 ,653.75 ,665.25 ,651.00 ,14.25 ,0.02 
02/19/2021,650.75 ,665.00 ,669.00 ,649.00 ,20.00 ,(0.02)
