,날짜,SP_500_MINMAX
1069,2019- 08- 02,31
1070,2019- 08- 01,68
1071,2019- 07- 31,59
1072,2019- 07- 30,17
1073,2019- 07- 29,11
1074,2019- 07- 26,15
1075,2019- 07- 25,19
1076,2019- 07- 24,23
1077,2019- 07- 23,17
1078,2019- 07- 22,14
1079,2019- 07- 19,31
1080,2019- 07- 18,25
1081,2019- 07- 17,21
1082,2019- 07- 16,14
1083,2019- 07- 15,9
1084,2019- 07- 12,12
1085,2019- 07- 11,14
1086,2019- 07- 10,18
1087,2019- 07- 09,18
1088,2019- 07- 08,10
1089,2019- 07- 05,27
1090,2019- 07- 03,18
1091,2019- 07- 02,18
1092,2019- 07- 01,25
1093,2019- 06- 28,14
1094,2019- 06- 27,11
1095,2019- 06- 26,20
1096,2019- 06- 25,30
1097,2019- 06- 24,10
1098,2019- 06- 21,18
1099,2019- 06- 20,27
1100,2019- 06- 19,20
1101,2019- 06- 18,25
1102,2019- 06- 17,10
1103,2019- 06- 14,15
1104,2019- 06- 13,14
1105,2019- 06- 12,14
1106,2019- 06- 11,32
1107,2019- 06- 10,19
1108,2019- 06- 07,32
1109,2019- 06- 06,30
1110,2019- 06- 05,27
1111,2019- 06- 04,42
1112,2019- 06- 03,35
1113,2019- 05- 31,18
1114,2019- 05- 30,23
1115,2019- 05- 29,26
1116,2019- 05- 28,39
1117,2019- 05- 24,21
1118,2019- 05- 23,31
1119,2019- 05- 22,14
1120,2019- 05- 21,14
1121,2019- 05- 20,22
1122,2019- 05- 17,31
1123,2019- 05- 16,37
1124,2019- 05- 15,43
1125,2019- 05- 14,32
1126,2019- 05- 13,39
1127,2019- 05- 10,66
1128,2019- 05- 09,39
1129,2019- 05- 08,24
1130,2019- 05- 07,51
1131,2019- 05- 06,39
1132,2019- 05- 03,18
1133,2019- 05- 02,31
1134,2019- 05- 01,31
1135,2019- 04- 30,24
1136,2019- 04- 29,10
1137,2019- 04- 26,22
1138,2019- 04- 25,21
1139,2019- 04- 24,10
1140,2019- 04- 23,28
1141,2019- 04- 22,13
1142,2019- 04- 18,17
1143,2019- 04- 17,23
1144,2019- 04- 16,16
1145,2019- 04- 15,13
1146,2019- 04- 12,12
1147,2019- 04- 11,12
1148,2019- 04- 10,10
1149,2019- 04- 09,13
1150,2019- 04- 08,15
1151,2019- 04- 05,11
1152,2019- 04- 04,14
1153,2019- 04- 03,20
1154,2019- 04- 02,14
1155,2019- 04- 01,21
1156,2019- 03- 29,17
1157,2019- 03- 28,21
1158,2019- 03- 27,38
1159,2019- 03- 26,26
1160,2019- 03- 25,24
1161,2019- 03- 22,46
1162,2019- 03- 21,43
1163,2019- 03- 20,31
1164,2019- 03- 19,29
1165,2019- 03- 18,14
1166,2019- 03- 15,20
1167,2019- 03- 14,12
1168,2019- 03- 13,22
1169,2019- 03- 12,12
1170,2019- 03- 11,37
1171,2019- 03- 08,22
1172,2019- 03- 07,28
1173,2019- 03- 06,22
1174,2019- 03- 05,14
1175,2019- 03- 04,49
1176,2019- 03- 01,21
1177,2019- 02- 28,11
1178,2019- 02- 27,20
1179,2019- 02- 26,14
1180,2019- 02- 25,19
1181,2019- 02- 22,15
1182,2019- 02- 21,17
1183,2019- 02- 20,15
1184,2019- 02- 19,20
1185,2019- 02- 15,15
1186,2019- 02- 14,26
1187,2019- 02- 13,13
1188,2019- 02- 12,26
1189,2019- 02- 11,15
1190,2019- 02- 08,27
1191,2019- 02- 07,32
1192,2019- 02- 06,14
1193,2019- 02- 05,14
1194,2019- 02- 04,26
1195,2019- 02- 01,20
1196,2019- 01- 31,30
1197,2019- 01- 30,42
1198,2019- 01- 29,19
1199,2019- 01- 28,20
1200,2019- 01- 25,15
1201,2019- 01- 24,20
1202,2019- 01- 23,41
1203,2019- 01- 22,40
1204,2019- 01- 18,28
1205,2019- 01- 17,39
1206,2019- 01- 16,13
1207,2019- 01- 15,28
1208,2019- 01- 14,19
1209,2019- 01- 11,19
1210,2019- 01- 10,35
1211,2019- 01- 09,27
1212,2019- 01- 08,32
1213,2019- 01- 07,42
1214,2019- 01- 04,64
1215,2019- 01- 03,50
1216,2019- 01- 02,52
1217,2018- 12- 31,27
1218,2018- 12- 28,48
1219,2018- 12- 27,92
1220,2018- 12- 26,121
1221,2018- 12- 24,59
1222,2018- 12- 21,96
1223,2018- 12- 20,68
1224,2018- 12- 19,97
1225,2018- 12- 18,45
1226,2018- 12- 17,71
1227,2018- 12- 14,42
1228,2018- 12- 13,33
1229,2018- 12- 12,35
1230,2018- 12- 11,53
1231,2018- 12- 10,64
1232,2018- 12- 07,85
1233,2018- 12- 06,75
1234,2018- 12- 04,88
1235,2018- 12- 03,27
1236,2018- 11- 30,28
1237,2018- 11- 29,31
1238,2018- 11- 28,60
1239,2018- 11- 27,27
1240,2018- 11- 26,25
1241,2018- 11- 23,16
1242,2018- 11- 21,21
1243,2018- 11- 20,38
1244,2018- 11- 19,52
1245,2018- 11- 16,34
1246,2018- 11- 15,65
1247,2018- 11- 14,61
1248,2018- 11- 13,40
1249,2018- 11- 12,53
1250,2018- 11- 09,30
1251,2018- 11- 08,20
1252,2018- 11- 07,41
1253,2018- 11- 06,19
1254,2018- 11- 05,27
1255,2018- 11- 02,56
1256,2018- 11- 01,33
1257,2018- 10- 31,31
1258,2018- 10- 30,50
1259,2018- 10- 29,103
1260,2018- 10- 26,64
1261,2018- 10- 25,55
1262,2018- 10- 24,91
1263,2018- 10- 23,62
1264,2018- 10- 22,29
1265,2018- 10- 19,37
1266,2018- 10- 18,51
1267,2018- 10- 17,35
1268,2018- 10- 16,47
1269,2018- 10- 15,26
1270,2018- 10- 12,46
1271,2018- 10- 11,85
1272,2018- 10- 10,90
1273,2018- 10- 09,20
1274,2018- 10- 08,27
1275,2018- 10- 05,40
1276,2018- 10- 04,36
1277,2018- 10- 03,18
1278,2018- 10- 02,12
1279,2018- 10- 01,20
1280,2018- 09- 28,13
1281,2018- 09- 27,18
1282,2018- 09- 26,28
1283,2018- 09- 25,10
1284,2018- 09- 24,11
1285,2018- 09- 21,13
1286,2018- 09- 20,15
1287,2018- 09- 19,9
1288,2018- 09- 18,21
1289,2018- 09- 17,18
1290,2018- 09- 14,13
1291,2018- 09- 13,10
1292,2018- 09- 12,15
1293,2018- 09- 11,26
1294,2018- 09- 10,11
1295,2018- 09- 07,19
1296,2018- 09- 06,25
1297,2018- 09- 05,18
1298,2018- 09- 04,15
1299,2018- 08- 31,15
1300,2018- 08- 30,17
1301,2018- 08- 29,18
1302,2018- 08- 28,10
1303,2018- 08- 27,14
1304,2018- 08- 24,14
1305,2018- 08- 23,14
1306,2018- 08- 22,11
1307,2018- 08- 21,12
1308,2018- 08- 20,9
1309,2018- 08- 17,22
1310,2018- 08- 16,19
1311,2018- 08- 15,25
1312,2018- 08- 14,17
1313,2018- 08- 13,24
1314,2018- 08- 10,17
1315,2018- 08- 09,11
1316,2018- 08- 08,9
1317,2018- 08- 07,8
1318,2018- 08- 06,18
1319,2018- 08- 03,13
1320,2018- 08- 02,33
1321,2018- 08- 01,20
1322,2018- 07- 31,16
1323,2018- 07- 30,23
1324,2018- 07- 27,35
1325,2018- 07- 26,10
1326,2018- 07- 25,31
1327,2018- 07- 24,18
1328,2018- 07- 23,13
1329,2018- 07- 20,9
1330,2018- 07- 19,13
1331,2018- 07- 18,11
1332,2018- 07- 17,25
1333,2018- 07- 16,10
1334,2018- 07- 13,13
1335,2018- 07- 12,18
1336,2018- 07- 11,15
1337,2018- 07- 10,9
1338,2018- 07- 09,16
1339,2018- 07- 06,31
1340,2018- 07- 05,21
1341,2018- 07- 03,25
1342,2018- 07- 02,29
1343,2018- 06- 29,25
1344,2018- 06- 28,33
1345,2018- 06- 27,47
1346,2018- 06- 26,17
1347,2018- 06- 25,44
1348,2018- 06- 22,12
1349,2018- 06- 21,25
1350,2018- 06- 20,11
1351,2018- 06- 19,22
1352,2018- 06- 18,17
1353,2018- 06- 15,21
1354,2018- 06- 14,13
1355,2018- 06- 13,17
1356,2018- 06- 12,11
1357,2018- 06- 11,10
1358,2018- 06- 08,16
1359,2018- 06- 07,19
1360,2018- 06- 06,24
1361,2018- 06- 05,13
1362,2018- 06- 04,9
1363,2018- 06- 01,18
1364,2018- 05- 31,22
1365,2018- 05- 30,27
1366,2018- 05- 29,34
1367,2018- 05- 25,13
1368,2018- 05- 24,24
1369,2018- 05- 23,24
1370,2018- 05- 22,21
1371,2018- 05- 21,14
1372,2018- 05- 18,10
1373,2018- 05- 17,20
1374,2018- 05- 16,15
1375,2018- 05- 15,17
1376,2018- 05- 14,17
1377,2018- 05- 11,15
1378,2018- 05- 10,22
1379,2018- 05- 09,27
1380,2018- 05- 08,21
1381,2018- 05- 07,19
1382,2018- 05- 04,55
1383,2018- 05- 03,43
1384,2018- 05- 02,29
1385,2018- 05- 01,30
1386,2018- 04- 30,34
1387,2018- 04- 27,18
1388,2018- 04- 26,29
1389,2018- 04- 25,33
1390,2018- 04- 24,66
1391,2018- 04- 23,25
1392,2018- 04- 20,33
1393,2018- 04- 19,21
1394,2018- 04- 18,14
1395,2018- 04- 17,21
1396,2018- 04- 16,21
1397,2018- 04- 13,35
1398,2018- 04- 12,21
1399,2018- 04- 11,22
1400,2018- 04- 10,30
1401,2018- 04- 09,43
1402,2018- 04- 06,70
1403,2018- 04- 05,23
1404,2018- 04- 04,76
1405,2018- 04- 03,44
1406,2018- 04- 02,85
1407,2018- 03- 29,50
1408,2018- 03- 28,39
1409,2018- 03- 27,78
1410,2018- 03- 26,60
1411,2018- 03- 23,72
1412,2018- 03- 22,54
1413,2018- 03- 21,30
1414,2018- 03- 20,14
1415,2018- 03- 19,47
1416,2018- 03- 16,12
1417,2018- 03- 15,22
1418,2018- 03- 14,33
1419,2018- 03- 13,43
1420,2018- 03- 12,17
1421,2018- 03- 09,35
1422,2018- 03- 08,18
1423,2018- 03- 07,29
1424,2018- 03- 06,21
1425,2018- 03- 05,53
1426,2018- 03- 02,49
1427,2018- 03- 01,71
1428,2018- 02- 28,48
1429,2018- 02- 27,45
1430,2018- 02- 26,27
1431,2018- 02- 23,34
1432,2018- 02- 22,34
1433,2018- 02- 21,46
1434,2018- 02- 20,31
1435,2018- 02- 16,29
1436,2018- 02- 15,42
1437,2018- 02- 14,54
1438,2018- 02- 13,31
1439,2018- 02- 12,50
1440,2018- 02- 09,106
1441,2018- 02- 08,105
1442,2018- 02- 07,46
1443,2018- 02- 06,108
1444,2018- 02- 05,125
1445,2018- 02- 02,49
1446,2018- 02- 01,23
1447,2018- 01- 31,26
1448,2018- 01- 30,19
1449,2018- 01- 29,19
1450,2018- 01- 26,26
1451,2018- 01- 25,18
1452,2018- 01- 24,28
1453,2018- 01- 23,12
1454,2018- 01- 22,25
1455,2018- 01- 19,12
1456,2018- 01- 18,13
1457,2018- 01- 17,29
1458,2018- 01- 16,39
1459,2018- 01- 12,18
1460,2018- 01- 11,15
1461,2018- 01- 10,14
1462,2018- 01- 09,12
1463,2018- 01- 08,11
1464,2018- 01- 05,16
1465,2018- 01- 04,10
1466,2018- 01- 03,17
1467,2018- 01- 02,13
