date,PER,PBR,Dividend_Yield
20210302,31.3,1.23,1.39
20210226,30.98,1.22,1.41
20210225,31.88,1.25,1.37
20210224,30.8,1.21,1.42
20210223,31.57,1.24,1.38
20210222,31.67,1.24,1.38
20210219,31.96,1.25,1.36
20210218,31.74,1.25,1.37
20210217,32.22,1.27,1.35
20210216,32.53,1.28,1.34
20210215,32.36,1.27,1.35
20210210,31.88,1.25,1.37
20210209,31.71,1.25,1.38
20210208,31.78,1.25,1.37
20210205,32.08,1.26,1.36
20210204,31.74,1.25,1.37
20210203,32.18,1.26,1.36
20210202,31.84,1.25,1.37
20210201,31.42,1.23,1.39
20210129,30.59,1.2,1.43
20210128,31.55,1.24,1.38
20210127,32.1,1.26,1.36
20210126,32.28,1.27,1.35
20210125,33.02,1.3,1.32
20210122,32.26,1.27,1.35
20210121,32.47,1.27,1.34
20210120,31.99,1.26,1.36
20210119,31.76,1.25,1.37
20210118,30.95,1.21,1.41
20210115,31.67,1.24,1.38
20210114,32.33,1.27,1.35
20210113,32.31,1.27,1.35
20210112,32.08,1.26,1.36
20210111,32.31,1.27,1.35
20210108,32.35,1.27,1.35
20210107,31.11,1.22,1.4
20210106,30.45,1.2,1.43
20210105,30.68,1.2,1.42
20210104,30.2,1.19,1.44
20231024,17.88,0.87,2.07
20231023,17.68,0.86,2.09
20231020,17.82,0.86,2.08
20231019,18.12,0.88,2.04
20231018,18.48,0.89,2.0
20231017,18.46,0.89,2.0
20231016,18.28,0.88,2.02
20231013,18.43,0.89,2.01
20231012,18.6,0.9,1.99
20231011,18.38,0.89,2.01
20231010,18.02,0.87,2.05
20231006,18.07,0.87,2.05
20231005,17.99,0.87,2.06
20231004,18.0,0.87,2.05
20230927,18.45,0.89,2.0
20230926,18.43,0.89,2.01
20230925,18.69,0.9,1.98
20230922,18.78,0.91,1.97
20230921,18.82,0.91,1.97
20230920,19.15,0.93,1.93
20230919,19.15,0.93,1.93
20230918,15.76,0.94,1.92
20230915,15.92,0.95,1.9
20230914,15.74,0.94,1.93
20230913,15.51,0.93,1.95
20230912,15.52,0.93,1.95
20230911,15.64,0.94,1.94
20230908,15.59,0.93,1.94
20230907,15.59,0.93,1.94
20230906,15.68,0.94,1.93
20230905,15.8,0.95,1.92
20230904,15.81,0.95,1.92
20230901,15.68,0.94,1.93
20230831,15.64,0.94,1.94
20230830,15.67,0.94,1.93
20230829,15.61,0.94,1.94
20230828,15.56,0.93,1.95
20230825,15.41,0.92,1.97
20230824,15.52,0.93,1.95
20230823,15.33,0.92,1.98
20230822,15.39,0.92,1.97
20230821,15.36,0.92,1.98
20230818,15.33,0.92,1.98
20230817,15.43,0.92,1.97
20230816,15.46,0.93,1.96
20230814,15.75,0.94,1.93
20230811,15.88,0.95,1.91
20230810,15.94,0.95,1.9
20230809,15.96,0.96,1.9
20230808,15.77,0.94,1.93
20230807,15.81,0.95,1.92
20230804,15.95,0.95,1.9
20230803,15.96,0.95,1.9
20230802,16.02,0.96,1.9
20230801,16.33,0.98,1.86
20230731,16.12,0.96,1.88
20230728,15.97,0.96,1.9
20230727,15.94,0.95,1.9
20230726,15.87,0.95,1.91
20230725,16.14,0.97,1.88
20230724,16.09,0.96,1.89
20230721,15.97,0.96,1.9
20230720,15.91,0.95,1.91
20230719,15.96,0.95,1.9
20230718,15.96,0.95,1.9
20230717,16.03,0.96,1.89
20230714,16.08,0.96,1.89
20230713,15.85,0.95,1.91
20230712,15.76,0.94,1.93
20230711,15.68,0.94,1.94
20230710,15.42,0.92,1.97
20230707,15.46,0.92,1.96
20230706,15.64,0.94,1.94
20230705,15.78,0.94,1.92
20230704,15.87,0.95,1.91
20230703,15.92,0.95,1.91
20230630,15.69,0.94,1.94
20230629,15.6,0.93,1.95
20230628,15.69,0.94,1.94
20230627,15.79,0.94,1.92
20230626,15.8,0.95,1.92
20230623,15.72,0.94,1.93
20230622,15.87,0.95,1.91
20230621,15.8,0.95,1.92
20230620,15.93,0.95,1.91
20230619,15.97,0.95,1.9
20230616,16.07,0.96,1.89
20230615,15.97,0.95,1.9
20230614,16.03,0.96,1.9
20230613,16.15,0.97,1.88
20230612,16.07,0.96,1.89
20230609,16.15,0.97,1.88
20230608,13.74,0.99,1.9
20230607,13.76,1.0,1.9
20230605,13.76,1.0,1.9
20230602,13.69,0.99,1.91
20230601,13.52,0.98,1.93
20230531,13.57,0.98,1.93
20230530,13.62,0.99,1.92
20230526,13.48,0.98,1.94
20230525,13.46,0.97,1.94
20230524,13.53,0.98,1.93
20230523,13.53,0.98,1.93
20230522,13.47,0.97,1.94
20230519,13.37,0.97,1.96
20230518,13.25,0.96,1.97
20230517,13.14,0.95,1.99
20230516,13.06,0.95,2.0
20230515,13.06,0.94,2.0
20230512,13.04,0.94,2.01
20230511,13.12,0.95,1.99
20230510,13.15,0.95,1.99
20230509,13.22,0.96,1.98
20230508,13.24,0.96,1.98
20230504,13.17,0.95,1.99
20230503,13.18,0.95,1.99
20230502,13.3,0.96,1.97
20230428,12.14,0.94,1.98
20230427,12.11,0.94,1.98
20230426,12.06,0.94,1.99
20230425,12.08,0.94,1.99
20230424,12.21,0.95,1.96
20230421,12.31,0.96,1.94
20230420,12.4,0.97,1.93
20230419,12.46,0.97,1.92
20230418,12.43,0.97,1.92
20230417,12.45,0.97,1.92
20230414,12.43,0.97,1.92
20230413,12.39,0.96,1.93
20230412,12.33,0.96,1.94
20230411,12.32,0.96,1.94
20230410,12.15,0.95,1.97
20230407,12.04,0.94,1.98
20230406,11.89,0.93,2.01
20230405,12.07,0.94,1.98
20230404,12.0,0.93,1.99
20230403,11.96,0.93,2.0
20230331,11.97,0.93,2.0
20230330,11.85,0.92,2.02
20230329,11.81,0.92,2.03
20230328,11.76,0.92,2.03
20230327,11.64,0.91,2.05
20230324,11.66,0.91,2.05
20230323,11.71,0.91,2.04
20230322,11.67,0.91,2.05
20230321,11.54,0.9,2.07
20230320,11.5,0.89,2.08
20230317,11.58,0.9,2.07
20230316,11.49,0.89,2.08
20230315,11.5,0.89,2.08
20230314,11.35,0.88,2.11
20230313,11.65,0.91,2.05
20230310,11.57,0.9,2.07
20230309,11.69,0.91,2.05
20230308,11.75,0.91,2.04
20230307,11.9,0.93,2.01
20230306,11.9,0.93,2.01
20230303,11.75,0.91,2.04
20230302,11.73,0.91,2.04
20230228,11.66,0.91,2.05
20230227,11.61,0.9,2.06
20230224,11.71,0.91,2.04
20230223,11.79,0.92,2.03
20230222,11.68,0.91,2.05
20230221,11.88,0.92,2.01
20230220,11.83,0.93,2.01
20230217,11.81,0.92,2.02
20230216,11.93,0.93,2.0
20230215,11.7,0.92,2.04
20230214,11.88,0.93,2.01
20230213,11.82,0.92,2.02
20230210,11.9,0.93,2.0
20230209,11.96,0.94,1.99
20230208,11.97,0.94,1.99
20230207,11.81,0.92,2.02
20230206,11.75,0.92,2.03
20230203,11.96,0.94,1.99
20230202,11.9,0.93,2.0
20230201,11.81,0.92,2.02
20230131,11.69,0.91,2.04
20230130,11.81,0.92,2.02
20230127,11.96,0.94,1.99
20230126,11.89,0.93,2.0
20230125,11.69,0.91,2.04
20230120,11.53,0.9,2.07
20230119,11.45,0.9,2.08
20230118,11.39,0.89,2.09
20230117,11.45,0.9,2.08
20230116,11.55,0.9,2.06
20230113,11.48,0.9,2.08
20230112,11.38,0.89,2.09
20230111,11.35,0.89,2.1
20230110,11.31,0.88,2.11
20230109,11.31,0.88,2.11
20230106,11.02,0.86,2.16
20230105,10.89,0.85,2.19
20230104,10.85,0.85,2.2
