date,krx_close,krx_diff,krx_return,PER,PBR,Dividend_Yield
2018-06-12,316.84,-0.38,-0.12,10.79,1.14,1.63
2018-06-14,311.2,-5.64,-1.78,10.57,1.11,1.66
2018-06-15,308.73,-2.47,-0.79,10.58,1.1,1.68
2018-06-18,305.35,-3.38,-1.09,10.46,1.09,1.69
2018-06-19,301.35,-4.0,-1.31,10.33,1.08,1.72
2018-06-20,304.02,2.67,0.89,10.42,1.09,1.7
2018-06-21,301.02,-3.0,-0.99,10.32,1.08,1.72
2018-06-22,303.69,2.67,0.89,10.41,1.09,1.7
2018-06-25,303.37,-0.32,-0.11,10.4,1.09,1.7
2018-06-26,302.76,-0.61,-0.2,10.38,1.08,1.71
2018-06-27,302.25,-0.51,-0.17,10.36,1.08,1.71
2018-06-28,298.26,-3.99,-1.32,10.23,1.07,1.73
2018-06-29,299.66,1.4,0.47,10.27,1.07,1.73
2018-07-02,292.93,-6.73,-2.25,10.04,1.05,1.77
2018-07-03,293.35,0.42,0.14,10.06,1.05,1.76
2018-07-04,292.26,-1.09,-0.37,10.02,1.05,1.77
2018-07-05,291.63,-0.63,-0.22,10.0,1.04,1.77
2018-07-06,293.11,1.48,0.51,10.05,1.05,1.76
2018-07-09,295.2,2.09,0.71,10.12,1.06,1.75
2018-07-10,296.19,0.99,0.34,10.15,1.06,1.75
2018-07-11,294.43,-1.76,-0.59,10.09,1.05,1.76
2018-07-12,294.41,-0.02,-0.01,10.09,1.05,1.76
2018-07-13,298.65,4.24,1.44,10.24,1.07,1.73
2018-07-16,297.37,-1.28,-0.43,10.17,1.06,1.74
2018-07-17,296.88,-0.49,-0.16,10.15,1.06,1.75
2018-07-18,296.47,-0.41,-0.14,10.14,1.06,1.75
2018-07-19,295.9,-0.57,-0.19,10.12,1.06,1.75
2018-07-20,296.95,1.05,0.35,10.15,1.06,1.75
2018-07-23,294.56,-2.39,-0.8,10.07,1.05,1.76
2018-07-24,295.49,0.93,0.32,10.1,1.06,1.75
2018-07-25,294.85,-0.64,-0.22,10.08,1.05,1.76
2018-07-26,296.95,2.1,0.71,10.15,1.06,1.75
