,date,T10Y3M
248,2021-12-16,1.39
249,2021-12-17,1.36
250,2021-12-20,1.36
251,2021-12-21,1.41
252,2021-12-22,1.38
253,2021-12-23,1.43
254,2021-12-24,1.43
255,2021-12-27,1.42
256,2021-12-28,1.43
257,2021-12-29,1.5
258,2021-12-30,1.47
259,2021-12-31,1.46
260,2022-01-03,1.55
261,2022-01-04,1.58
262,2022-01-05,1.62
263,2022-01-06,1.63
264,2022-01-07,1.66
265,2022-01-10,1.65
266,2022-01-11,1.64
267,2022-01-12,1.62
268,2022-01-13,1.58
269,2022-01-14,1.65
270,2022-01-17,1.65
271,2022-01-18,1.71
272,2022-01-19,1.66
273,2022-01-20,1.66
274,2022-01-21,1.58
275,2022-01-24,1.56
276,2022-01-25,1.59
277,2022-01-26,1.66
278,2022-01-27,1.61
279,2022-01-28,1.59
280,2022-01-31,1.57
281,2022-02-01,1.62
282,2022-02-02,1.59
283,2022-02-03,1.62
284,2022-02-04,1.7
285,2022-02-07,1.65
286,2022-02-08,1.71
287,2022-02-09,1.68
288,2022-02-10,1.63
289,2022-02-11,1.56
290,2022-02-14,1.55
291,2022-02-15,1.65
292,2022-02-16,1.65
293,2022-02-17,1.61
294,2022-02-18,1.57
295,2022-02-21,1.57
296,2022-02-22,1.57
297,2022-02-23,1.65
298,2022-02-24,1.64
299,2022-02-25,1.64
300,2022-02-28,1.48
301,2022-03-01,1.4
302,2022-03-02,1.52
303,2022-03-03,1.48
304,2022-03-04,1.4
305,2022-03-07,1.4
306,2022-03-08,1.5
307,2022-03-09,1.56
308,2022-03-10,1.59
309,2022-03-11,1.6
310,2022-03-14,1.69
311,2022-03-15,1.69
312,2022-03-16,1.75
313,2022-03-17,1.8
314,2022-03-18,1.72
315,2022-03-21,1.78
316,2022-03-22,1.87
317,2022-03-23,1.82
318,2022-03-24,1.82
319,2022-03-25,1.93
320,2022-03-28,1.87
321,2022-03-29,1.86
322,2022-03-30,1.8
323,2022-03-31,1.8
324,2022-04-01,1.86
325,2022-04-04,1.76
326,2022-04-05,1.89
327,2022-04-06,1.94
328,2022-04-07,1.98
329,2022-04-08,2.02
330,2022-04-11,2.02
331,2022-04-12,1.98
332,2022-04-13,1.95
333,2022-04-14,2.04
334,2022-04-15,2.04
335,2022-04-18,2.04
336,2022-04-19,2.12
337,2022-04-20,2.03
338,2022-04-21,2.07
339,2022-04-22,2.07
340,2022-04-25,1.9
341,2022-04-26,1.94
342,2022-04-27,2.0
343,2022-04-28,2.03
344,2022-04-29,2.04
345,2022-05-02,2.09
346,2022-05-03,2.06
347,2022-05-04,2.04
348,2022-05-05,2.2
349,2022-05-06,2.27
350,2022-05-09,2.13
351,2022-05-10,2.1
352,2022-05-11,2.0
353,2022-05-12,1.88
354,2022-05-13,1.9
355,2022-05-16,1.81
356,2022-05-17,1.92
357,2022-05-18,1.86
358,2022-05-19,1.79
359,2022-05-20,1.75
360,2022-05-23,1.79
361,2022-05-24,1.7
362,2022-05-25,1.69
363,2022-05-26,1.68
364,2022-05-27,1.66
365,2022-05-30,1.66
366,2022-05-31,1.69
367,2022-06-01,1.79
368,2022-06-02,1.75
369,2022-06-03,1.75
370,2022-06-06,1.78
371,2022-06-07,1.72
372,2022-06-08,1.75
373,2022-06-09,1.74
374,2022-06-10,1.76
375,2022-06-13,1.7
376,2022-06-14,1.66
377,2022-06-15,1.59
378,2022-06-16,1.69
379,2022-06-17,1.62
380,2022-06-20,1.62
381,2022-06-21,1.61
382,2022-06-22,1.55
383,2022-06-23,1.44
384,2022-06-24,1.4
385,2022-06-27,1.41
386,2022-06-28,1.41
387,2022-06-29,1.32
388,2022-06-30,1.26
389,2022-07-01,1.15
390,2022-07-04,1.15
391,2022-07-05,0.92
392,2022-07-06,1.03
393,2022-07-07,1.06
394,2022-07-08,1.11
395,2022-07-11,0.81
396,2022-07-12,0.74
397,2022-07-13,0.52
398,2022-07-14,0.56
399,2022-07-15,0.56
400,2022-07-18,0.46
401,2022-07-19,0.49
402,2022-07-20,0.53
403,2022-07-21,0.43
404,2022-07-22,0.28
405,2022-07-25,0.19
406,2022-07-26,0.26
407,2022-07-27,0.34
408,2022-07-28,0.26
409,2022-07-29,0.26
410,2022-08-01,0.04
411,2022-08-02,0.19
412,2022-08-03,0.21
413,2022-08-04,0.18
414,2022-08-05,0.25
415,2022-08-08,0.12
416,2022-08-09,0.13
417,2022-08-10,0.13
418,2022-08-11,0.25
419,2022-08-12,0.21
420,2022-08-15,0.07
421,2022-08-16,0.12
422,2022-08-17,0.21
423,2022-08-18,0.17
424,2022-08-19,0.24
425,2022-08-22,0.21
426,2022-08-23,0.25
427,2022-08-24,0.29
428,2022-08-25,0.15
429,2022-08-26,0.15
430,2022-08-29,0.15
431,2022-08-30,0.14
432,2022-08-31,0.19
433,2022-09-01,0.29
434,2022-09-02,0.26
435,2022-09-05,0.26
436,2022-09-06,0.29
437,2022-09-07,0.2
438,2022-09-08,0.23
439,2022-09-09,0.25
440,2022-09-12,0.2
441,2022-09-13,0.14
442,2022-09-14,0.17
443,2022-09-15,0.23
444,2022-09-16,0.25
445,2022-09-19,0.12
446,2022-09-20,0.22
447,2022-09-21,0.2
448,2022-09-22,0.41
449,2022-09-23,0.45
450,2022-09-26,0.49
451,2022-09-27,0.62
452,2022-09-28,0.32
453,2022-09-29,0.4
454,2022-09-30,0.5
455,2022-10-03,0.21
456,2022-10-04,0.17
457,2022-10-05,0.3
458,2022-10-06,0.37
459,2022-10-07,0.44
460,2022-10-10,0.44
461,2022-10-11,0.26
462,2022-10-12,0.21
463,2022-10-13,0.18
464,2022-10-14,0.19
465,2022-10-17,0.05
466,2022-10-18,-0.03
467,2022-10-19,0.07
468,2022-10-20,0.15
469,2022-10-21,0.12
470,2022-10-24,0.09
471,2022-10-25,-0.04
472,2022-10-26,-0.07
473,2022-10-27,-0.17
474,2022-10-28,-0.16
475,2022-10-31,-0.12
476,2022-11-01,-0.16
477,2022-11-02,-0.12
478,2022-11-03,-0.11
479,2022-11-04,-0.04
480,2022-11-07,-0.07
481,2022-11-08,-0.14
482,2022-11-09,-0.17
483,2022-11-10,-0.46
484,2022-11-11,-0.46
485,2022-11-14,-0.46
486,2022-11-15,-0.51
487,2022-11-16,-0.65
488,2022-11-17,-0.55
489,2022-11-18,-0.52
490,2022-11-21,-0.58
491,2022-11-22,-0.64
492,2022-11-23,-0.69
493,2022-11-24,-0.69
494,2022-11-25,-0.73
495,2022-11-28,-0.72
496,2022-11-29,-0.63
497,2022-11-30,-0.69
498,2022-12-01,-0.8
499,2022-12-02,-0.83
500,2022-12-05,-0.76
501,2022-12-06,-0.86
502,2022-12-07,-0.87
503,2022-12-08,-0.8
504,2022-12-09,-0.74
505,2022-12-12,-0.77
506,2022-12-13,-0.84
507,2022-12-14,-0.84
508,2022-12-15,-0.9
509,2022-12-16,-0.83
510,2022-12-19,-0.8
511,2022-12-20,-0.66
512,2022-12-21,-0.65
513,2022-12-22,-0.68
514,2022-12-23,-0.59
515,2022-12-26,-0.59
516,2022-12-27,-0.62
517,2022-12-28,-0.58
518,2022-12-29,-0.62
519,2022-12-30,-0.54
520,2023-01-02,-0.54
521,2023-01-03,-0.74
522,2023-01-04,-0.86
523,2023-01-05,-0.95
524,2023-01-06,-1.12
525,2023-01-09,-1.17
526,2023-01-10,-1.12
527,2023-01-11,-1.18
528,2023-01-12,-1.23
529,2023-01-13,-1.18
530,2023-01-16,-1.18
531,2023-01-17,-1.18
532,2023-01-18,-1.32
533,2023-01-19,-1.32
534,2023-01-20,-1.24
535,2023-01-23,-1.21
536,2023-01-24,-1.26
537,2023-01-25,-1.26
538,2023-01-26,-1.22
539,2023-01-27,-1.21
540,2023-01-30,-1.17
541,2023-01-31,-1.18
542,2023-02-01,-1.27
543,2023-02-02,-1.26
544,2023-02-03,-1.17
545,2023-02-06,-1.08
546,2023-02-07,-1.04
547,2023-02-08,-1.09
548,2023-02-09,-1.1
549,2023-02-10,-1.05
550,2023-02-13,-1.09
551,2023-02-14,-1.03
552,2023-02-15,-0.98
553,2023-02-16,-0.98
554,2023-02-17,-1.02
555,2023-02-20,-1.02
556,2023-02-21,-0.91
557,2023-02-22,-0.91
558,2023-02-23,-0.96
559,2023-02-24,-0.91
560,2023-02-27,-0.97
561,2023-02-28,-0.96
562,2023-03-01,-0.89
563,2023-03-02,-0.83
564,2023-03-03,-0.94
565,2023-03-06,-0.95
566,2023-03-07,-1.07
567,2023-03-08,-1.08
568,2023-03-09,-1.12
569,2023-03-10,-1.31
570,2023-03-13,-1.32
571,2023-03-14,-1.24
572,2023-03-15,-1.24
573,2023-03-16,-1.18
574,2023-03-17,-1.13
575,2023-03-20,-1.34
576,2023-03-21,-1.19
577,2023-03-22,-1.31
578,2023-03-23,-1.35
579,2023-03-24,-1.36
580,2023-03-27,-1.38
581,2023-03-28,-1.25
582,2023-03-29,-1.23
583,2023-03-30,-1.42
584,2023-03-31,-1.37
585,2023-04-03,-1.47
586,2023-04-04,-1.53
587,2023-04-05,-1.56
588,2023-04-06,-1.61
589,2023-04-07,-1.56
590,2023-04-10,-1.67
591,2023-04-11,-1.61
592,2023-04-12,-1.61
593,2023-04-13,-1.65
594,2023-04-14,-1.62
595,2023-04-17,-1.61
596,2023-04-18,-1.62
597,2023-04-19,-1.56
598,2023-04-20,-1.58
599,2023-04-21,-1.57
600,2023-04-24,-1.68
601,2023-04-25,-1.72
602,2023-04-26,-1.73
603,2023-04-27,-1.65
604,2023-04-28,-1.66
605,2023-05-01,-1.68
606,2023-05-02,-1.8
607,2023-05-03,-1.88
608,2023-05-04,-1.89
609,2023-05-05,-1.82
610,2023-05-08,-1.79
611,2023-05-09,-1.76
612,2023-05-10,-1.81
613,2023-05-11,-1.81
614,2023-05-12,-1.79
615,2023-05-15,-1.71
616,2023-05-16,-1.69
617,2023-05-17,-1.69
618,2023-05-18,-1.66
619,2023-05-19,-1.59
620,2023-05-22,-1.68
621,2023-05-23,-1.64
622,2023-05-24,-1.64
623,2023-05-25,-1.55
624,2023-05-26,-1.54
625,2023-05-29,-1.54
626,2023-05-30,-1.86
627,2023-05-31,-1.88
628,2023-06-01,-1.89
629,2023-06-02,-1.81
630,2023-06-05,-1.77
631,2023-06-06,-1.74
632,2023-06-07,-1.63
633,2023-06-08,-1.65
634,2023-06-09,-1.62
635,2023-06-12,-1.67
636,2023-06-13,-1.52
637,2023-06-14,-1.53
638,2023-06-15,-1.61
