date,close
20220107,37871
20220110,37487
20220111,37765
20220112,38179
20220113,38352
20220114,37909
20220117,37458
20220118,37237
20220119,36886
20220120,36867
20220121,36650
20220124,36372
20220125,35656
20220126,35464
20220127,34944
20220128,34010
20220203,35488
20220204,35676
20220207,35156
20220208,35580
20220209,35714
20220210,36205
20220211,35758
20220214,35363
20220215,35247
20220216,35584
20220217,35979
20220218,35666
20220221,35219
20220222,35320
20220223,35565
20220224,34992
20220225,35021
20220228,34708
20220302,35142
20220303,35584
20220304,35272
20220307,34420
20220308,34140
20220310,34776
20220311,34598
20220314,34593
20220315,34391
20220316,34415
20220317,35406
20220318,35219
20220321,35151
20220322,35132
20220323,35685
20220324,35195
20220325,35276
20220328,35089
20220329,35397
20220330,35719
20220331,35738
20220401,35310
20220404,35406
20220405,35517
20220406,35329
20220407,34896
20220408,34761
20220411,34785
20220412,34583
20220413,34545
20220414,34882
20220415,34444
20220418,34463
20220419,34886
20220420,34684
20220421,35031
20220422,34559
20220425,34261
20220426,34232
20220427,33649
20220428,33798
20220429,34531
20220502,34379
20220503,34555
20220504,34653
20220506,34047
20220509,33979
20220510,33115
20220511,33461
20220512,33217
20220513,33422
20220516,33935
20220517,33925
20220518,34228
20220519,33413
20220520,33828
20220523,34340
20220524,34062
20220525,33701
20220526,34057
20220527,34072
20220530,34331
20220531,34306
20220602,34340
20220603,34521
20220607,34077
20220608,33828
20220609,33696
20220610,33408
20220613,32631
20220614,31982
20220615,31840
20220616,32089
20220617,31118
20220620,30898
20220621,30952
20220622,30825
20220623,30102
20220624,30200
20220627,30698
20220628,31059
20220629,30839
20220630,30458
20220701,30317
20220704,29965
20220705,30239
20220706,29956
20220707,30073
20220708,30449
20220711,30493
20220712,29931
20220713,29975
20220714,29926
20220715,29731
20220718,30595
20220719,30644
20220720,31269
20220721,31108
20220722,31381
20220725,31308
20220726,31191
20220727,31264
20220728,31582
20220729,31866
20220801,31675
20220802,31582
20220803,31553
20220804,31895
20220805,32086
20220808,31871
20220809,31969
20220810,31861
20220811,32248
20220812,32341
20220816,32487
20220817,32590
20220818,31969
20220819,32042
20220822,31567
20220823,31494
20220824,31396
20220825,31465
20220826,31905
20220829,31000
20220830,31107
20220831,31044
20220901,31034
20220902,30892
20220905,30838
20220906,30858
20220907,30261
20220908,30324
20220913,30980
20220914,30359
20220915,30594
20220916,30246
20220919,30202
20220920,30305
20220921,29908
20220922,29453
20220923,29395
20220926,28680
20220927,28372
20220928,28299
20220929,28250
20220930,27711
20221004,28255
20221005,28573
20221006,28759
20221007,28450
20221011,27741
20221012,28025
20221013,28073
20221014,28250
20221017,28078
20221018,28744
20221019,28900
20221020,28343
20221021,28318
20221024,28817
20221025,28852
20221026,28759
20221027,29243
20221028,29213
20221031,29208
20221101,29665
20221102,29748
20221103,29272
20221104,29572
20221107,30077
20221108,30411
20221109,30853
20221110,30897
20221111,31624
20221114,31899
20221115,31624
20221116,31447
20221118,31369
20221121,31055
20221122,30937
20221123,30942
20221124,31118
20221125,31099
20221128,30681
20221129,30711
20221130,31045
20221201,31983
20221202,31334
20221205,31045
20221206,30760
20221207,30401
20221208,30293
20221209,30436
20221212,30490
20221213,30495
20221214,30662
20221215,30563
20221216,30018
20221219,30156
20221220,29930
20221221,29881
20221222,29955
20221223,29871
20221226,29660
20221227,29876
20221228,29748
20221229,29424
20230103,28639
20230104,29115
20230105,29807
20230106,29738
20230109,30613
20230110,30780
20230111,30966
20230112,30956
20230113,31330
20230116,31344
20230117,31428
