date,open,high,low,close,volume
20200103,10180,10204,9923,9943,6119412
20200106,9788,9822,9667,9671,6186428
20200107,9739,9880,9725,9851,5113779
20200108,9754,9759,9507,9511,11290606
20200109,9792,9977,9594,9957,12893529
20200110,9981,10040,9894,10040,6901923
20200113,10093,10127,9448,10117,4794899
20200114,10156,10262,10044,10059,7525970
20200115,10049,10107,10001,10035,4793792
20200116,10020,10175,9991,10156,4459373
20200117,10224,10243,10107,10141,5512768
20200120,10156,10219,10025,10044,4435107
20200121,10054,10088,9880,9914,3672765
20200122,9904,10141,9904,10141,6178382
20200123,10088,10103,9977,10020,3034656
20200128,9662,9744,9608,9667,6091040
20200129,9754,9826,9681,9778,6913191
20200130,9754,9817,9531,9560,5749600
20200131,9623,9744,9371,9395,11293108
20200203,9293,9574,9264,9536,7136290
20200204,9550,9725,9550,9720,4012600
20200205,9783,9851,9647,9696,4858361
20200206,9788,9938,9773,9909,5578011
20200207,9889,9943,9817,9899,5096931
20200210,9817,9996,9792,9957,5055540
20200211,9967,10098,9967,10064,4547909
20200212,10064,10161,10020,10117,4910315
20200213,10161,10190,10020,10098,5218013
20200214,10074,10180,10044,10083,4724793
20200217,10078,10166,10064,10132,3152319
20200218,10103,10117,9967,9981,5188711
20200219,10035,10054,9836,10001,5064220
20200220,10044,10074,9860,9948,3457389
20200221,9822,9889,9676,9691,5637356
20200224,9458,9560,9250,9293,15044587
20200225,9298,9642,9255,9628,16127077
20200226,9410,9710,9410,9652,5691517
20200227,9637,9788,9381,9478,8182970
20200228,9322,9424,9071,9129,16239165
20200302,9230,9419,9080,9390,15040360
20200303,9652,9652,9327,9337,6402655
20200304,9293,9531,9284,9492,5364617
20200305,9589,9662,9516,9628,6996902
20200306,9545,9584,9429,9536,6127253
20200309,9395,9410,9163,9167,6730955
20200310,9163,9327,9051,9322,10712277
20200311,9327,9342,8901,8930,10542755
20200312,8882,8930,8407,8475,26736450
20200313,7995,8426,7661,8111,35203822
20200316,8237,8397,7840,7840,23958211
20200317,7651,8203,7530,8155,15003309
20200318,8189,8344,7617,7617,16626532
20200319,7942,8005,6784,6997,18934018
20200320,7254,7607,7055,7607,35423865
20200323,7103,7476,7065,7215,10672273
