,date,y_change
941,20220804,-107
942,20220805,74
943,20220808,39
944,20220809,-25
945,20220810,-97
946,20220811,54
947,20220812,162
948,20220816,-132
949,20220817,63
950,20220818,-166
951,20220819,-216
952,20220822,-123
953,20220823,20
954,20220824,78
955,20220825,9
956,20220826,-29
957,20220829,25
958,20220830,35
959,20220831,-29
960,20220901,-113
961,20220902,-49
962,20220905,260
963,20220906,73
964,20220907,-59
965,20220908,-68
966,20220913,102
967,20220914,-39
968,20220915,-69
969,20220916,0
970,20220919,-112
971,20220920,132
972,20220921,83
973,20220922,-29
974,20220923,-93
975,20220926,-49
976,20220927,15
977,20220928,102
978,20220929,15
979,20220930,88
980,20221004,118
981,20221005,-171
982,20221006,20
983,20221007,35
984,20221011,-147
985,20221012,39
986,20221013,-69
987,20221014,64
988,20221017,-5
989,20221018,-68
990,20221019,-59
991,20221020,44
992,20221021,113
993,20221024,49
994,20221025,89
995,20221026,4
996,20221027,84
997,20221028,88
998,20221031,-44
999,20221101,83
1000,20221102,-40
1001,20221103,-78
1002,20221104,118
1003,20221107,127
1004,20221108,-14
1005,20221109,-34
1006,20221110,69
1007,20221111,94
1008,20221114,5
1009,20221115,34
1010,20221116,-177
1011,20221118,133
1012,20221121,-191
1013,20221122,94
1014,20221123,54
1015,20221124,15
1016,20221125,-113
1017,20221128,-255
1018,20221129,35
1019,20221130,54
1020,20221201,-69
1021,20221202,-245
1022,20221205,-98
1023,20221206,50
1024,20221207,73
1025,20221208,-24
1026,20221209,-10
1027,20221212,25
1028,20221213,-64
1029,20221214,182
1030,20221215,-5
1031,20221216,152
1032,20221219,30
1033,20221220,-49
1034,20221221,-93
1035,20221222,-24
1036,20221223,-25
1037,20221226,29
1038,20221227,103
1039,20221228,-64
1040,20221229,20
1041,20230103,-289
1042,20230104,83
1043,20230105,93
1044,20230106,285
1045,20230109,117
1046,20230110,25
1047,20230111,14
1048,20230112,-157
1049,20230113,49
1050,20230116,74
1051,20230117,25
1052,20230118,-191
1053,20230119,128
1054,20230120,152
1055,20230125,-15
1056,20230126,25
1057,20230127,4
1058,20230130,-103
1059,20230131,-118
1060,20230201,-5
1061,20230202,-35
1062,20230203,5
1063,20230206,-172
1064,20230207,103
1065,20230208,113
1066,20230209,-39
1067,20230210,93
1068,20230213,-59
1069,20230214,152
1070,20230215,-295
1071,20230216,123
1072,20230217,251
1073,20230220,-222
1074,20230221,-173
1075,20230222,-44
1076,20230223,148
1077,20230224,103
1078,20230227,-118
1079,20230228,49
1080,20230302,241
1081,20230303,-79
1082,20230306,-84
1083,20230307,0
1084,20230308,-69
1085,20230309,44
1086,20230310,25
1087,20230313,-68
1088,20230314,-152
1089,20230315,64
1090,20230316,-59
1091,20230317,-24
1092,20230320,45
1093,20230321,-34
1094,20230322,-54
1095,20230323,44
1096,20230324,-5
1097,20230327,-207
1098,20230328,59
1099,20230329,103
1100,20230330,-98
1101,20230331,20
1102,20230403,-206
1103,20230404,138
1104,20230405,143
1105,20230406,-142
1106,20230407,103
1107,20230410,241
1108,20230411,35
1109,20230412,167
1110,20230413,64
1111,20230414,-19
1112,20230417,-25
1113,20230418,-79
1114,20230419,89
1115,20230420,4
1116,20230421,-64
1117,20230424,-5
1118,20230425,-54
1119,20230426,59
1120,20230427,-205
1121,20230428,-55
1122,20230502,180
1123,20230503,40
1124,20230504,39
1125,20230508,45
1126,20230509,-100
1127,20230510,-90
1128,20230511,15
1129,20230512,-15
1130,20230515,5
1131,20230516,75
1132,20230517,49
1133,20230518,50
1134,20230519,35
1135,20230522,145
1136,20230523,-35
1137,20230524,105
1138,20230525,-65
1139,20230526,10
1140,20230530,-50
1141,20230531,70
1142,20230601,44
1143,20230602,45
1144,20230605,-55
1145,20230607,40
1146,20230608,-35
1147,20230609,-25
1148,20230612,-35
1149,20230613,10
1150,20230614,-135
1151,20230615,65
1152,20230616,-154
1153,20230619,-69
1154,20230620,-65
1155,20230621,-65
1156,20230622,109
1157,20230623,-75
1158,20230626,55
1159,20230627,-69
1160,20230628,-105
1161,20230629,145
1162,20230630,-245
1163,20230703,180
1164,20230704,45
1165,20230705,-45
1166,20230706,-209
1167,20230707,-184
1168,20230710,35
1169,20230711,104
1170,20230712,10
1171,20230713,35
1172,20230714,0
1173,20230717,45
1174,20230718,-130
1175,20230719,-135
1176,20230720,40
1177,20230721,-135
1178,20230724,-90
1179,20230725,-80
1180,20230726,-55
1181,20230727,55
1182,20230728,-45
1183,20230731,-25
1184,20230801,165
1185,20230802,-40
1186,20230803,-85
1187,20230804,-5
1188,20230807,155
1189,20230808,-105
1190,20230809,170
1191,20230810,40
1192,20230811,145
1193,20230814,-25
1194,20230816,-20
1195,20230817,-120
1196,20230818,145
1197,20230821,25
1198,20230822,35
1199,20230823,70
1200,20230824,115
1201,20230825,95
1202,20230828,-120
1203,20230829,-25
1204,20230830,-30
1205,20230831,10
1206,20230901,120
1207,20230904,-15
1208,20230905,55
1209,20230906,35
1210,20230907,15
1211,20230908,-25
1212,20230911,-100
1213,20230912,-85
1214,20230913,140
1215,20230914,25
1216,20230915,80
1217,20230918,100
1218,20230919,-95
1219,20230920,10
1220,20230921,50
1221,20230922,5
1222,20230925,20
1223,20230926,-170
1224,20230927,190
1225,20231004,-305
1226,20231005,-115
1227,20231006,75
1228,20231010,145
1229,20231011,120
1230,20231012,45
1231,20231013,120
1232,20231016,110
1233,20231017,5
1234,20231018,25
1235,20231019,-115
1236,20231020,-150
1237,20231023,75
1238,20231024,-60
1239,20231025,-75
1240,20231026,40
